What Country or Region do you live in?,Which US State or Territory do you live in?,How old are you?,How many years of IT/Programming experience do you have?,How would you best describe the industry you currently work in?,How many people work for your company?,Which of the following best describes your occupation?,"Including yourself, how many developers are employed at your company?",How large is the team that you work on?,What other departments / roles do you interact with regularly?,,,,,,,,,,"If your company has a native mobile app, what platforms do you support?",,,,,,,"If you make a software product, how does your company make money? (You can choose more than one)",,,,,,,,"In an average week, how do you spend your time?",,,,,,,,What is your involvement in purchasing products or services for the company you work for? (You can choose more than one),,,,,,,What types of purchases are you involved in?,,,,,,"What is your budget for outside expenditures (hardware, software, consulting, etc) for 2013?",Which of the following languages or technologies have you used significantly in the past year?,,,,,,,,,,,,,,Which technologies are you excited about?,,,,,,,,,,,Which desktop operating system do you use the most?,"Please rate how important each of the following characteristics of a company/job offer are to you.    Please select a MAXIMUM of 3 items as ""Non-Negotiables"" to help us identify the most important items, those where you would never consider a company if they didn't meet them.",,,,,,,,,,,,,,,,Have you changed jobs in the last 12 months?,What best describes your career / job satisfaction?,"Including bonus, what is your annual compensation in USD?",Which technology products do you own? (You can choose more than one),,,,,,,,,,,,,,"In the last 12 months, how much money have you spent on personal technology-related purchases?",Please rate the advertising you've seen on Stack Overflow,,,,,,What advertisers do you remember seeing on Stack Overflow?,What is your current Stack Overflow reputation?,How do you use Stack Overflow?,,,
Response,Response,Response,Response,Response,Response,Response,Response,Response,System Administrators,Designers,Product Managers,Testers / Quality Assurance,Technical Support,Sales / Marketing,Consultants,Customers,Finance,Human Resources,iPhone,iPad,Android phone,Android tablet,Blackberry,Other,No mobile app,Advertising,Direct sales to consumers,Direct sales to companies,Software as a service / recurring billing,Mobile app sales,Consulting,Grants / outside fund-raising,Other,Developing new features,Refactoring / code quality,Fixing bugs,Technical support,Meetings,Learning new skills,Surfing the Internet,Commuting,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",I have a discretionary budget at my disposal,I can buy anything I want without asking anyone,Check Writer,No Involvement,I'm a Seller,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,Other,Response,C,C++,C#,Java,JavaScript,jQuery,JQuery,Node.js,Objective-C,PHP,Python,Ruby,SQL,Other (please specify),Node.js,Haskell,CoffeeScript,Dart,TypeScript,C++11,WinRT,Redis,MongoDB,F#,PhoneGap,Response,High Base Compensation,Stock Options/Profit Sharing Program,Identification With the Company/Goals,Excitement About the Company's Products,Opportunity to Use/Learn New Technologies,Room for Growth of Skills/Knowledge,"High Quality Office Space (amenities, lounge space, free food, etc)",High Caliber Team (is everyone else smart/hardworking),"Positive Organization Structure (not much bureaucracy, helpful management)",Lots of Control Over Your Own Work,"Quality of Workstation (dream machine, 30inch monitors, etc)",Autonomy Over Budget/Expenditures,Office in a Desirable City/Area,Convenient Commute or Telecommute Options,40 hour work week,Limited night / weekend work,Response,Response,Response,iPhone,Android,Blackberry,Windows Phone,iPad,Android Tablet,Kindle Fire,Windows Tablet,Kindle,Nook,PS3,Xbox,Wii,Other (please specify),Response,The ads are relevant,The ads are entertaining,The ads are Informative,I click on ads that interest me,I've taken a trial/purchased a product from ads,What ads? I use an ad blocker,Open-Ended Response,Response,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,Other (please specify)
United Kingdom,,35-39,6/10/2013,Finance / Banking,101-999,Enterprise Level Services,100,4/8/2013,System Administrators,Designers,Product Managers,Testers / Quality Assurance,,,,,,,iPhone,iPad,Android phone,,Blackberry,Other,,,,Direct sales to companies,,,Consulting,,,10-20 hours,5-10 hours,10-20 hours,5-10 hours,5-10 hours,2-5 hours,,1-2 hours,,,,,,No Involvement,,,,,,,,,,,,Java,,,,,,,,,SQL,,,,,,,,,,,,,Windows 7,Non-Negotiable,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Not Very Important,Don't Care,Very Important,Very Important,Non-Negotiable,Very Important,No,It's a paycheck,"$80,000 - $100,000",iPhone,,,,,,,,,,,,,,$100-$250,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,Don't have an account,Read other people's questions to solve my problems,,,
United States of America,Oregon,25-29,6/10/2013,Retail,101-999,Back-End Web Developer,6/15/2013,4/8/2013,System Administrators,Designers,,,,Sales / Marketing,,,,,iPhone,iPad,Android phone,Android tablet,,,,,Direct sales to consumers,,,,,,,5-10 hours,5-10 hours,5-10 hours,2-5 hours,1-2 hours,2-5 hours,1-2 hours,None,,,,I can buy anything I want without asking anyone,,,,,,Software,,,Other,"<$1,000",,,C#,,JavaScript,jQuery,,,,PHP,,,,MySql / VbScript,Node.js,,,,,,,,,,,Windows 7,Very Important,Not Very Important,Somewhat Important,Don't Care,Non-Negotiable,Somewhat Important,Very Important,Very Important,Very Important,Very Important,Non-Negotiable,Somewhat Important,Somewhat Important,Very Important,Non-Negotiable,Somewhat Important,No,It's a paycheck,"$20,000 - $40,000",,Android,,,,,,,,,,Xbox,,PSP (Playstation Portable),$251-$500,Disagree,Agree,Neutral,Agree,Disagree,Neutral,"StackOverflow themselves, Careers 2.0 (SO also), Microsoft, Aloft-something",1,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
United States of America,Wisconsin,51-60,11,Software Products,26-100,Enterprise Level Services,6/15/2013,Just me!,System Administrators,Designers,Product Managers,Testers / Quality Assurance,Technical Support,Sales / Marketing,,Customers,,Human Resources,,,,,,Other,,,Direct sales to consumers,,Software as a service / recurring billing,,Consulting,,,5-10 hours,20+ hours,5-10 hours,1-2 hours,1-2 hours,1-2 hours,20+ hours,2-5 hours,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",,,,,,,,Software,,Consultants,,Don't know,,,C#,,JavaScript,jQuery,,,,,,,SQL,"PL/SQL, XSLT, XQuery",,,,,,C++11,,,,F#,,Windows 7,Very Important,Not Very Important,Very Important,Very Important,Non-Negotiable,Non-Negotiable,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Very Important,,Non-Negotiable,No,I'm not happy in my job,"$120,000 - $140,000",,Android,,,,,Kindle Fire,,Kindle,,,,,,">$3,000",Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,don't recall seeing ads on Stack Overflow,Don't have an account,Read other people's questions to solve my problems,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,Idaho,35-39,11,Consulting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,Washington,< 20,<2,Software Products,"Other (not working, consultant, etc.)",Desktop Software Developer,1/5/2013,Just me!,,Designers,,Testers / Quality Assurance,,,,,,,,,,,,,No mobile app,,,,,,,,Other,1-2 hours,2-5 hours,20+ hours,None,None,None,None,None,,,,,,No Involvement,,,,,,,,,,,C#,,,,,,,,Python,,,,,,,,,,,,,,,Windows 7,Don't Care,Not Very Important,Not Very Important,Non-Negotiable,Not Very Important,Very Important,Somewhat Important,Very Important,Non-Negotiable,Don't Care,Somewhat Important,Not Very Important,Not Very Important,Non-Negotiable,Don't Care,Don't Care,No,I wish I had a job!,Student / Unemployed,,,,,,,,,,,,Xbox,,,$100-$250,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,None,1,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
United States of America,Arkansas,20-24,6/10/2013,Web Services,"1,000-3,000",Back-End Web Developer,6/15/2013,1/3/2013,System Administrators,,,,,,,Customers,,Human Resources,,,,,,,No mobile app,,,,,,,,,10-20 hours,1-2 hours,2-5 hours,1-2 hours,None,2-5 hours,1-2 hours,None,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",,,,,,,,Software,,,,Don't know,C,C++,,Java,JavaScript,jQuery,,,,PHP,,,SQL,,,,,,,C++11,,,,,,Windows 7,Very Important,Don't Care,Don't Care,Don't Care,Very Important,Very Important,Non-Negotiable,Non-Negotiable,Very Important,Very Important,Very Important,Somewhat Important,Non-Negotiable,Somewhat Important,Somewhat Important,Very Important,No,It's a paycheck,Rather not say,iPhone,,,,iPad,,,,,,PS3,,,,"$501-$1,000",Agree,Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,,10000,,,Answer questions I know the answer to,
United Kingdom,,20-24,11,Web Services,"Other (not working, consultant, etc.)",Full-Stack Web Developer,1/5/2013,4/8/2013,System Administrators,Designers,Product Managers,Testers / Quality Assurance,,,,Customers,,,iPhone,iPad,Android phone,Android tablet,,,,,,,,,Consulting,,,5-10 hours,5-10 hours,2-5 hours,5-10 hours,None,5-10 hours,5-10 hours,None,,,,I can buy anything I want without asking anyone,,,,Hardware,Servers,Software,,,,"$1,001 - $5,000",,,,,JavaScript,jQuery,,,,PHP,Python,,SQL,,,,CoffeeScript,,,,,,,,,Linux,Very Important,Somewhat Important,Non-Negotiable,Very Important,Non-Negotiable,Non-Negotiable,Somewhat Important,Very Important,Very Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Very Important,No,Love my job,"$80,000 - $100,000",iPhone,Android,,,,Android Tablet,,,,,,Xbox,Wii,,"$1,001-$2,000",Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,,500,Read other people's questions to solve my problems,,Answer questions I know the answer to,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,Ohio,< 20,<2,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
