,,,,,,,,Select all that apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Select all that apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Select all that apply,,,,,,,,,,,Salary,,,,,,,,,Select up to 3,,,,,,,,,,,,,,,,,,,Select up to 3,,,,,,,,,,,,,,,,Select up to 3,,,,,,,,Select all that apply,,,,,,,,,,,,,Select up to 3,,,,,,,,,Select all that apply,,,,,,,,,,,,Select all that apply,,,,,,,,,,,,,Select all that apply,,,,,,,,,,Select all that apply,,,,,,,
Italy,25-29,Male,Huh?,6 - 10 years,Mobile developer,Mac OS X,,Android,,AngularJS,,,,C#,,,,,,,,,,,iOS,Java,JavaScript,,,,,Objective-C,,,,,,,,,,,,,,Swift,,Windows Phone,,,Android,,,,,,C#,,,,,,,,,,,iOS,Java,,,,,,,,,,,,,,,,,,,,Swift,,Windows Phone,,,,,,,,,,Bachelor of Science in Computer Science (or related field),,,,"Less than $20,000",10000,I'm a student,,,,,Yes,I am open to new job opportunities,Salary,,,,,,,,Work/life balance,Opportunity for advancement,,,,,,,,,Very important,,Finding an open job that I'm qualified for,,Interesting companies rarely respond,Writing my CV and keeping it updated,,,Rarely,I wish more recruiters contacted me!,Great,Great,I don't have an account,Great,Great,Great,Great,,,Stack Overflow activity is mentioned,,Company culture is described,Salary information is provided,,,Salary,,,Tech stack,Office location,Job title,People I would be working with,,Hate,Tolerate,Great,Great,Great,,,Offer remote interviews (ie. via video conference),,,,Show me the space in which I will work,,Prepare me for who I will be speaking with,,,,,,,3,5-10 hours per week,Multipleætimes a day,NotePad++,,Light,Git,,,,,,,,,,,Git,,,To give help to others,Because I can't do my job without it,,To demonstrate that I'm good at what I do,,To receive help onæmy personal projects,Because I love to learn,,Usually,It feels good to help a programmer in need,,It feels good to demonstrate my expertise.,,,,,
Italy,< 20,Male,Tabs,2 - 5 years,Mobile developer,,Windows Server 2008,Android,Arduino / Raspberry Pi,,,,,C#,,,,,,,,,,,iOS,,JavaScript,,,,,Objective-C,,PHP,,,,,,,,,,SQL,SQL Server,,,,Wordpress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On-the-job training,,,,Industry certification program,Some college coursework in Computer Science (or related field) but no degree,,,,,"$20,000 - $40,000",30000,Employed full-time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korea South,30-34,Male,Tabs,6 - 10 years,Mobile developer,Windows 8,,Android,,,,C++,C++11,C#,,,,,,,,,,,iOS,,,,,,,,,,Python,,,,,,,,,,,,,,,,,,,,C++,C++11,C#,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,Swift,,,,,No formal training; I'm self-taught,,,,,,,,,,,"$60,000 - $80,000",70000,Employed full-time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,< 20,Male,Tabs,6 - 10 years,Mobile developer,Windows 7,,Android,Arduino / Raspberry Pi,,,C++,,,,,Cordova,,,,,,,,,Java,JavaScript,LAMP,,,,,,PHP,,,,,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matlab,,,,,,Python,,,,,,Scala,,,,,,,,,,No formal training; I'm self-taught,,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,,,,,Unemployed,Unemployed,I'm a student,,,,,No (I'm a student),I am open to new job opportunities,Salary,,,,,,,,,,Job title,,,,,,Remote working options,,Very important,,Finding an open job that I'm qualified for,,,,,,Never,I wish more recruiters contacted me!,Great,I don't have an account,I don't have an account,Tolerate,Tolerate,Tolerate,Hate,Message is personalized,,,Team I would be working with isædescribed,Company culture is described,,,,Salary,Benefits,,,,,,Details about the product or project I'd be working on,Tolerate,Tolerate,Great,Great,Tolerate,,,,,,,,,,,,Goodæselection of relevant jobs,,,,1,10-20 hours per week,Multipleætimes a day,Sublime Text,,Dark,Git,,,,,,,,,,,Git,,,,,,,,To receive help onæmy personal projects,Because I love to learn,,Usually,It feels good to help a programmer in need,,,,,,,
Norway,25-29,Male,Spaces,2 - 5 years,Mobile developer,Windows 7,,,,,,,,C#,,,Cordova,,,,,,,Haskell,,,JavaScript,,,,,,,,Python,,,,,,,,,,,,,,,ABAP,,,AngularJS,,,,,,,Cordova,,,,,,,Haskell,,,JavaScript,,,,Node.js,,,,,,,,,,,,,,,,,,,ABAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,20-24,Male,It depends,1 - 2 years,Mobile developer,Windows 7,,Android,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,,,,,Wordpress,,,,,,,,,,,,,,,,,,,,,JavaScript,,,,Node.js,,,,,,,,,,,,,,,,,,,,,On-the-job training,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,,,,Other,Unemployed,Unemployed,I'm a student,,,,,Yes,I am open to new job opportunities,Salary,,,,,,,,,Opportunity for advancement,,Office location,,,,,,,Neutral - I don't mind working in the office or remotely,,Finding an open job that I'm qualified for,,Interesting companies rarely respond,Writing my CV and keeping it updated,,,Rarely,I wish more recruiters contacted me!,Great,Tolerate,I don't have an account,Great,I don't have an account,Tolerate,Tolerate,,,,,Company culture is described,Salary information is provided,Benefits / perks of the work environment are described,,Salary,Benefits,Company name,,Office location,Job title,,,Tolerate,Tolerate,Tolerate,Hate,Tolerate,Show meæmore live code,,,,,Offer me a decent cup of coffee,,Fewer brainteasers,,,,,,,,0,5-10 hours per week,Multipleætimes a day,,webstorm,Light,Git,,,,,,,,,,,Git,,,,,,,,,,I don't really use Stack Overflow. I just take surveys.,Sometimes,,,,,,,,"I don't answer much (or at all), but I want to answer more"
Pakistan,20-24,Male,Tabs,6 - 10 years,Mobile developer,Windows 8,,Android,Arduino / Raspberry Pi,AngularJS,C,C++,C++11,C#,,,,,,,,,,,,Java,JavaScript,,,MongoDB,Node.js,Objective-C,Perl,PHP,Python,,,Ruby,,,,,,SQL,,,,,Wordpress,,Android,Arduino / Raspberry Pi,AngularJS,C,C++,C++11,C#,,,,,,,,,,,,Java,JavaScript,,,,Node.js,Objective-C,Perl,PHP,Python,,,,,,,,,SQL,,,,,Wordpress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,20-24,Male,It depends,1 - 2 years,Mobile developer,Ubuntu,,,,,,,,,,,,,,,,,,,,,,,,,Node.js,,,PHP,Python,,,,,,,,,,,,,,,,,,,,,,C#,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,,No formal training; I'm self-taught,,,,,,,,,,,"Less than $20,000",10000,Employed part-time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,25-29,Male,Spaces,6 - 10 years,Mobile developer,Windows 8,,Android,,,,C++,C++11,C#,,,,,,,,,,,iOS,Java,,,,,,Objective-C,,,,,,Ruby,,,,,,,,,,Windows Phone,,Lua,Android,,,,,C++11,C#,,,,,,,,,,,,Java,,,,,,,,,,,,Ruby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
