Respondent,Professional,ProgramHobby,Country,University,EmploymentStatus,FormalEducation,MajorUndergrad,HomeRemote,CompanySize,CompanyType,YearsProgram,YearsCodedJob,YearsCodedJobPast,DeveloperType,WebDeveloperType,MobileDeveloperType,NonDeveloperType,CareerSatisfaction,JobSatisfaction,ExCoderReturn,ExCoderNotForMe,ExCoderBalance,ExCoder10Years,ExCoderBelonged,ExCoderSkills,ExCoderWillNotCode,ExCoderActive,PronounceGIF,ProblemSolving,BuildingThings,LearningNewTech,BoringDetails,JobSecurity,DiversityImportant,AnnoyingUI,FriendsDevelopers,RightWrongWay,UnderstandComputers,SeriousWork,InvestTimeTools,WorkPayCare,KinshipDevelopers,ChallengeMyself,CompetePeers,ChangeWorld,JobSeekingStatus,HoursPerWeek,LastNewJob,AssessJobIndustry,AssessJobRole,AssessJobExp,AssessJobDept,AssessJobTech,AssessJobProjects,AssessJobCompensation,AssessJobOffice,AssessJobCommute,AssessJobRemote,AssessJobLeaders,AssessJobProfDevel,AssessJobDiversity,AssessJobProduct,AssessJobFinances,ImportantBenefits,ClickyKeys,JobProfile,ResumePrompted,LearnedHiring,ImportantHiringAlgorithms,ImportantHiringTechExp,ImportantHiringCommunication,ImportantHiringOpenSource,ImportantHiringPMExp,ImportantHiringCompanies,ImportantHiringTitles,ImportantHiringEducation,ImportantHiringRep,ImportantHiringGettingThingsDone,Currency,Overpaid,TabsSpaces,EducationImportant,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,CousinEducation,WorkStart,HaveWorkedLanguage,WantWorkLanguage,HaveWorkedFramework,WantWorkFramework,HaveWorkedDatabase,WantWorkDatabase,HaveWorkedPlatform,WantWorkPlatform,IDE,AuditoryEnvironment,Methodology,VersionControl,CheckInCode,ShipIt,OtherPeoplesCode,ProjectManagement,EnjoyDebugging,InTheZone,DifficultCommunication,CollaborateRemote,MetricAssess,EquipmentSatisfiedMonitors,EquipmentSatisfiedCPU,EquipmentSatisfiedRAM,EquipmentSatisfiedStorage,EquipmentSatisfiedRW,InfluenceInternet,InfluenceWorkstation,InfluenceHardware,InfluenceServers,InfluenceTechStack,InfluenceDeptTech,InfluenceVizTools,InfluenceDatabase,InfluenceCloud,InfluenceConsultants,InfluenceRecruitment,InfluenceCommunication,StackOverflowDescribes,StackOverflowSatisfaction,StackOverflowDevices,StackOverflowFoundAnswer,StackOverflowCopiedCode,StackOverflowJobListing,StackOverflowCompanyPage,StackOverflowJobSearch,StackOverflowNewQuestion,StackOverflowAnswer,StackOverflowMetaChat,StackOverflowAdsRelevant,StackOverflowAdsDistracting,StackOverflowModeration,StackOverflowCommunity,StackOverflowHelpful,StackOverflowBetter,StackOverflowWhatDo,StackOverflowMakeMoney,Gender,HighestEducationParents,Race,SurveyLong,QuestionsInteresting,QuestionsConfusing,InterestedAnswers,Salary,ExpectedSalary
5602,Professional developer,"Yes, I program as a hobby",Belgium,No,Employed full-time,Master's degree,A non-computer-focused engineering discipline,"Less than half the time, but at least one day each week","10,000 or more employees",Publicly-traded corporation,7 to 8 years,3 to 4 years,NA,Mobile developer; Developer with a statistics or mathematics background; Desktop applications developer,NA,NA,NA,8,7,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Strongly agree,Strongly agree,Agree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Disagree,Somewhat agree,Agree,Disagree,Somewhat agree,Strongly agree,Disagree,Somewhat agree,"I'm not actively looking, but I am open to new opportunities",1,Between 2 and 4 years ago,Important,Important,Not at all important,Important,Somewhat important,Somewhat important,Important,Important,Somewhat important,Not very important,Not very important,Very important,Not very important,Not very important,Not very important,Vacation/days off; Equipment; Professional development sponsorship; Meals,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Euros (€),Neither underpaid nor overpaid,Spaces,Somewhat important,Online course; On-the-job training; Self-taught; Hackathon,Official documentation; Trade book; Stack Overflow Q&A,NA,NA,10:00 AM,C#; Java; Objective-C; SQL; Swift,Python; SQL; Swift,Firebase; .NET Core,Node.js; Firebase,MySQL; SQLite,MongoDB; MySQL,iOS; Windows Desktop; Amazon Web Services (AWS),Android; Windows Desktop; Raspberry Pi; WordPress,Sublime Text; Eclipse; Visual Studio; Xcode,Keep the room absolutely quiet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,I am the final decision maker,Some influence,Some influence,No influence at all,Some influence,Not much influence,Not much influence,Not much influence,No influence at all,No influence at all,A lot of influence,I have created a CV or Developer Story on Stack Overflow,9,Desktop; iOS browser; iOS app,At least once each day,Several times,Once or twice,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Male,A bachelor's degree,White or of European descent,Agree,Disagree,Disagree,Disagree,38709.6774193548,NA
5603,Professional developer,"Yes, I program as a hobby",France,No,Employed full-time,Master's degree,Computer science or software engineering,A few days each month,"10,000 or more employees","Privately-held limited company, not in startup mode",9 to 10 years,3 to 4 years,NA,Web developer,Full stack Web developer,NA,NA,7,8,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5604,Professional developer,No,United States,No,Employed full-time,Bachelor's degree,Computer science or software engineering,Never,I don't know,Government agency or public school/university,4 to 5 years,2 to 3 years,NA,Web developer; Database administrator; Systems administrator,NA,NA,NA,7,6,NA,NA,NA,NA,NA,NA,NA,NA,Some other way,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I'm not actively looking, but I am open to new opportunities",1,Between 2 and 4 years ago,Important,Not very important,Important,Important,Somewhat important,Somewhat important,Important,Important,Important,Somewhat important,Somewhat important,Very important,Not very important,Important,Somewhat important,Vacation/days off; Equipment; Private office; Expected work hours,No,LinkedIn,I was just giving it a regular update,Some other way,Important,Somewhat important,Important,Not very important,Not very important,Somewhat important,Somewhat important,Somewhat important,Not at all important,Very important,U.S. dollars ($),Neither underpaid nor overpaid,Tabs,Somewhat important,Self-taught; Coding competition,Trade book; Stack Overflow Q&A; Built-in help,NA,NA,8:00 AM,C#; JavaScript; SQL; VB.NET,C; C++,.NET Core,NA,SQL Server,NA,Windows Desktop,Android; Raspberry Pi,Notepad++; Visual Studio,Turn on some music,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,Somewhat satisfied,Satisfied,Some influence,Not much influence,No influence at all,No influence at all,Some influence,Not much influence,Some influence,No influence at all,No influence at all,No influence at all,Not much influence,I have created a CV or Developer Story on Stack Overflow,8,Desktop; Android browser; Android app,At least once each week,Once or twice,Several times,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Once or twice,Disagree,Disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Disagree,Male,I don't know/not sure,Black or of African descent; White or of European descent,Somewhat agree,Somewhat agree,Disagree,Agree,65e3,NA
5605,Professional developer,"Yes, I program as a hobby",Italy,I prefer not to say,Employed full-time,Some college/university study without earning a bachelor's degree,Computer science or software engineering,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",15 to 16 years,5 to 6 years,NA,Web developer; Mobile developer; Systems administrator,NA,NA,NA,8,7,NA,NA,NA,NA,NA,NA,NA,NA,"With a soft ""g,"" like ""jiff""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,LinkedIn,A recruiter contacted me,I was contacted directly by someone at the company (e.g. internal recruiter),Very important,Very important,Not very important,Somewhat important,Not very important,Somewhat important,Not very important,Not very important,Somewhat important,Important,Euros (€),Neither underpaid nor overpaid,Spaces,Not very important,Self-taught; Coding competition; Hackathon; Open source contributions,Official documentation; Trade book; Stack Overflow Q&A; Stack Overflow Docs; Friends network; Built-in help,NA,NA,1:00 PM,Java; Python; SQL,Common Lisp; Java; Python; Rust; SQL,NA,NA,PostgreSQL; Oracle; SQLite,PostgreSQL; Oracle; SQLite,Mac OS,Mac OS,Atom; Sublime Text; Vim; Android Studio; IntelliJ,Keep the room absolutely quiet,Kanban,Subversion,Once a day,Somewhat agree,Somewhat agree,Disagree,Disagree,Disagree,Disagree,Disagree,Commit frequency; Customer satisfaction; On time/in budget; Peers' rating,Satisfied,Satisfied,Satisfied,Somewhat satisfied,Satisfied,Satisfied,Not much influence,No influence at all,Not much influence,Not much influence,Some influence,No influence at all,Not much influence,No influence at all,No influence at all,No influence at all,Not much influence,I have created a CV or Developer Story on Stack Overflow,9,Desktop; Android browser,Several times,Several times,Haven't done at all,Haven't done at all,Haven't done at all,Once or twice,Once or twice,Haven't done at all,Disagree,Disagree,Disagree,Somewhat agree,Agree,Strongly agree,Somewhat agree,Disagree,Male,High school,White or of European descent,Somewhat agree,Agree,Disagree,Agree,33333.3333333333,NA
5606,Professional developer,"Yes, I program as a hobby",United States,No,Employed full-time,Bachelor's degree,A social science,All or almost all the time (I'm full-time remote),100 to 499 employees,Venture-funded startup,3 to 4 years,3 to 4 years,NA,Web developer,Full stack Web developer,NA,NA,10,7,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Strongly agree,Strongly agree,Agree,Disagree,Somewhat agree,Strongly agree,Agree,Somewhat agree,Disagree,Somewhat agree,Strongly agree,Agree,Strongly disagree,Agree,Agree,Agree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,LinkedIn,Something else,A tech-specific job board,Important,Somewhat important,Important,Somewhat important,Not very important,Very important,Not very important,Important,Somewhat important,Very important,NA,NA,Spaces,Very important,Self-taught; Open source contributions,Official documentation; Trade book; Stack Overflow Q&A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agile; Lean; Scrum; Kanban,Git,A few times a week,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Disagree,Somewhat agree,Customer satisfaction; Revenue performance,Very satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,Very satisfied,Very satisfied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5607,Professional non-developer who sometimes writes code,"Yes, I program as a hobby",Poland,No,Employed full-time,Bachelor's degree,"Information technology, networking, or system administration","Less than half the time, but at least one day each week",I prefer not to answer,"Privately-held limited company, not in startup mode",20 or more years,20 or more years,NA,NA,NA,NA,Analyst or consultant,10,10,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",Strongly agree,Agree,Agree,Somewhat agree,Disagree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Disagree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,"I'm not actively looking, but I am open to new opportunities",2,Less than a year ago,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Important,Somewhat important,Somewhat important,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,LinkedIn,NA,An external recruiter or headhunter,Somewhat important,Somewhat important,Very important,Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not very important,Important,NA,NA,Spaces,NA,Self-taught,Official documentation; Trade book; Stack Overflow Q&A; Non-Stack online communities; Friends network; Built-in help,NA,Take online courses; Buy books and work through the exercises,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5608,Professional developer,"Yes, I program as a hobby",United States,No,Employed full-time,Bachelor's degree,A business discipline,All or almost all the time (I'm full-time remote),Fewer than 10 employees,"Privately-held limited company, not in startup mode",1 to 2 years,1 to 2 years,NA,Web developer,Full stack Web developer,NA,NA,8,7,NA,NA,NA,NA,NA,NA,NA,NA,"With a soft ""g,"" like ""jiff""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,LinkedIn,Something else,"A friend, family member, or former colleague told me",Important,Important,Very important,Somewhat important,Not very important,Somewhat important,Somewhat important,Not at all important,Not very important,Very important,U.S. dollars ($),Somewhat overpaid,Tabs,Not at all important,On-the-job training; Self-taught; Hackathon,Official documentation; Stack Overflow Q&A; Non-Stack online communities; Tutoring/mentoring; Friends network; Built-in help,NA,Take online courses; Bootcamp; Participate in hackathons; Conferences/meet-ups,7:00 AM,C#; PHP; Ruby; SQL,Elixir; Go; JavaScript; Python; Ruby,.NET Core,Node.js; React,MongoDB; SQL Server; PostgreSQL,PostgreSQL,Mac OS,Mac OS,TextMate,Keep the room absolutely quiet,Agile; Lean; Scrum,Team Foundation Server,A few times a week,Somewhat agree,Agree,Somewhat agree,Disagree,Agree,Disagree,Somewhat agree,On time/in budget; Manager's rating; Peers' rating,Somewhat satisfied,Satisfied,Not very satisfied,Satisfied,Satisfied,Somewhat satisfied,A lot of influence,Not much influence,Not much influence,Not much influence,Not much influence,Some influence,Some influence,Not much influence,Not much influence,Not much influence,Some influence,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",10,Desktop,Several times,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Agree,Somewhat agree,Disagree,Somewhat agree,Agree,Agree,Agree,Disagree,Male,A bachelor's degree,White or of European descent,Agree,Agree,Disagree,Agree,72e3,NA
5609,Professional developer,"Yes, I program as a hobby",India,No,Employed full-time,Master's degree,Computer science or software engineering,"More than half, but not all, the time","1,000 to 4,999 employees","Privately-held limited company, not in startup mode",13 to 14 years,10 to 11 years,NA,Mobile developer,NA,iOS,NA,10,6,NA,NA,NA,NA,NA,NA,NA,NA,"With a soft ""g,"" like ""jiff""",Agree,Strongly agree,Strongly agree,Disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Agree,"I'm not actively looking, but I am open to new opportunities",1,Between 1 and 2 years ago,Somewhat important,Not very important,Important,Somewhat important,Very important,Important,Somewhat important,Somewhat important,Somewhat important,Not very important,Somewhat important,Very important,Important,Very important,Important,Retirement; Health benefits; Equipment; Long-term leave,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tabs,Somewhat important,Online course; On-the-job training; Self-taught,Trade book; Stack Overflow Q&A; Non-Stack online communities,NA,NA,Noon,PHP,Java,AngularJS; Node.js; React; Cordova,Node.js; React,NA,MongoDB; MySQL; SQLite,Android; iOS,Android; iOS,Atom; Android Studio; Eclipse; Xcode,Turn on some music,Agile; Scrum; Kanban; Domain-driven design,Git,Multiple times a day,Strongly disagree,Somewhat agree,Disagree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Customer satisfaction; Benchmarked product performance; Revenue performance; Manager's rating; Peers' rating,Somewhat satisfied,Somewhat satisfied,Not very satisfied,Satisfied,Somewhat satisfied,Somewhat satisfied,A lot of influence,A lot of influence,No influence at all,A lot of influence,A lot of influence,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",8,Desktop; iOS browser,Several times,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,NA,Once or twice,Once or twice,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Male,High school,South Asian,Strongly agree,Agree,Disagree,Strongly agree,NA,NA
5610,Professional developer,"Yes, both",United States,No,Employed full-time,Secondary school,NA,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",3 to 4 years,2 to 3 years,NA,Mobile developer; Desktop applications developer,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. dollars ($),Neither underpaid nor overpaid,NA,Not very important,Online course; Self-taught; Coding competition; Hackathon; Open source contributions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7e4,NA
5611,Student,No,United States,"Yes, full-time",Employed part-time,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",Never,"5,000 to 9,999 employees",Something else,3 to 4 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"With a hard ""g,"" like ""gift""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Glassdoor; LinkedIn,NA,A career fair or on-campus recruiting event,Important,Very important,Very important,Somewhat important,Somewhat important,Important,Very important,Somewhat important,Not at all important,Important,U.S. dollars ($),NA,Tabs,NA,NA,NA,NA,Return to college; Take online courses; Contribute to open source; Bootcamp,8:00 AM,C#; SQL,C#; Java; Python; SQL,NA,NA,SQL Server,SQL Server,NA,NA,Visual Studio,Keep the room absolutely quiet,NA,Team Foundation Server,A few times a week,Somewhat agree,Somewhat agree,Disagree,Agree,Strongly agree,Disagree,Agree,On time/in budget,Satisfied,Satisfied,Somewhat satisfied,Satisfied,Satisfied,Satisfied,No influence at all,Not much influence,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,"I've visited Stack Overflow, but haven't logged in/created an account",8,Desktop,At least once each day,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Disagree,Disagree,Disagree,Strongly disagree,Agree,Agree,Somewhat agree,Agree,Male,A bachelor's degree,White or of European descent,Somewhat agree,Agree,Strongly disagree,Strongly agree,NA,6e4
