Respondent,Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,YearsCodingProf,JobSatisfaction,CareerSatisfaction,HopeFiveYears,JobSearchStatus,LastNewJob,AssessJob1,AssessJob2,AssessJob3,AssessJob4,AssessJob5,AssessJob6,AssessJob7,AssessJob8,AssessJob9,AssessJob10,AssessBenefits1,AssessBenefits2,AssessBenefits3,AssessBenefits4,AssessBenefits5,AssessBenefits6,AssessBenefits7,AssessBenefits8,AssessBenefits9,AssessBenefits10,AssessBenefits11,JobContactPriorities1,JobContactPriorities2,JobContactPriorities3,JobContactPriorities4,JobContactPriorities5,JobEmailPriorities1,JobEmailPriorities2,JobEmailPriorities3,JobEmailPriorities4,JobEmailPriorities5,JobEmailPriorities6,JobEmailPriorities7,UpdateCV,Currency,Salary,SalaryType,ConvertedSalary,CurrencySymbol,CommunicationTools,TimeFullyProductive,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,HackathonReasons,AgreeDisagree1,AgreeDisagree2,AgreeDisagree3,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,FrameworkWorkedWith,FrameworkDesireNextYear,IDE,OperatingSystem,NumberMonitors,Methodology,VersionControl,CheckInCode,AdBlocker,AdBlockerDisable,AdBlockerReasons,AdsAgreeDisagree1,AdsAgreeDisagree2,AdsAgreeDisagree3,AdsActions,AdsPriorities1,AdsPriorities2,AdsPriorities3,AdsPriorities4,AdsPriorities5,AdsPriorities6,AdsPriorities7,AIDangerous,AIInteresting,AIResponsible,AIFuture,EthicsChoice,EthicsReport,EthicsResponsible,EthicalImplications,StackOverflowRecommend,StackOverflowVisit,StackOverflowHasAccount,StackOverflowParticipate,StackOverflowJobs,StackOverflowDevStory,StackOverflowJobsRecommend,StackOverflowConsiderMember,HypotheticalTools1,HypotheticalTools2,HypotheticalTools3,HypotheticalTools4,HypotheticalTools5,WakeTime,HoursComputer,HoursOutside,SkipMeals,ErgonomicDevices,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Age,Dependents,MilitaryUS,SurveyTooLong,SurveyEasy
101044,Yes,Yes,Austria,"Yes, full-time",Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",NA,"10,000 or more employees",Back-end developer;Full-stack developer;Mobile developer,6-8 years,0-2 years,Moderately satisfied,Moderately satisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,8,9,2,5,7,1,6,3,10,4,1,6,3,10,9,7,5,2,11,8,4,2,4,1,3,5,6,1,4,3,2,5,7,My job status or other personal status changed,Euros (€),NA,NA,NA,NA,"Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.)",Less than a month,"Completed an industry certification program (e.g. MCPD);Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system",NA,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;Because I find it enjoyable",Agree,Agree,Neither Agree nor Disagree,C#;Go;Python;Rust;Kotlin,C;Go;Python;Rust;Swift;Kotlin,Redis;PostgreSQL;Elasticsearch,Redis;PostgreSQL,Android;Linux;Mac OS;Raspberry Pi;Firebase,iOS;Linux;Mac OS;Raspberry Pi;Firebase,.NET Core,.NET Core;TensorFlow,Android Studio;IntelliJ;Sublime Text;Vim;Visual Studio Code,Linux-based,2,Extreme programming (XP);Kanban;Pair programming;Scrum,Git,Multiple times per day,No,NA,NA,Strongly agree,Neither agree nor disagree,Somewhat disagree,NA,1,3,2,6,4,7,5,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Algorithms making important decisions,The developers or the people creating the AI,I'm worried about the dangers more than I'm excited about the possibilities.,No,"Yes, and publicly",The person who came up with the idea,Yes,9,Multiple times per day,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I know what it is but I don't have one",NA,Yes,Extremely interested,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Between 6:01 - 7:00 AM,1 - 4 hours,1 - 2 hours,Never,NA,Daily or almost every day,Male,Straight or heterosexual,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",White or of European descent,18 - 24 years old,No,NA,The survey was an appropriate length,Very easy
101045,Yes,Yes,Turkey,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",500 to 999 employees,Data or business analyst,3-5 years,3-5 years,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",More than 4 years ago,9,5,10,2,1,4,6,3,7,8,6,8,3,7,11,9,10,4,2,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,My job status or other personal status changed,NA,NA,Monthly,NA,TRY,"Confluence;Google Hangouts/Chat;Office / productivity suite (Microsoft Office, Google Suite, etc.)",Three to six months,"Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)",NA,NA,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To build my professional network;To help me find new job opportunities;To win prizes or cash awards;Because I find it enjoyable",Neither Agree nor Disagree,Strongly agree,Neither Agree nor Disagree,Java;PHP;SQL;Bash/Shell,NA,MySQL;PostgreSQL,NA,NA,NA,NA,NA,Eclipse;NetBeans;Notepad++,Windows,2,NA,Git;Copying and pasting files to network shares;Zip file back-ups,Once a day,No,NA,NA,Somewhat agree,Neither agree nor disagree,Somewhat agree,NA,3,2,4,6,7,5,1,"Artificial intelligence surpassing human intelligence (""the singularity"")","Artificial intelligence surpassing human intelligence (""the singularity"")",A governmental or other regulatory body,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, and publicly",Upper management at the company/organization,Yes,10 (Very Likely),A few times per week,Yes,A few times per month or weekly,Yes,"No, and I don't know what that is",8,Yes,Very interested,Very interested,Very interested,Very interested,Extremely interested,Between 7:01 - 8:00 AM,9 - 12 hours,1 - 2 hours,1 - 2 times per week,Standing desk;Ergonomic keyboard or mouse,1 - 2 times per week,Male,Straight or heterosexual,Some college/university study without earning a degree,Middle Eastern,35 - 44 years old,Yes,NA,The survey was an appropriate length,Neither easy nor difficult
101046,Yes,No,Austria,"Yes, part-time",Employed part-time,NA,NA,100 to 499 employees,Desktop or enterprise applications developer,3-5 years,0-2 years,Moderately dissatisfied,Slightly dissatisfied,Doing the same work,I am actively looking for a job,Between 1 and 2 years ago,2,9,4,1,6,7,3,8,5,10,2,9,5,11,7,6,1,3,10,8,4,1,2,5,3,4,6,2,3,1,4,7,5,I had a negative experience or interaction at work,Euros (€),1500,NA,NA,EUR,"Jira;Other wiki tool (Github, Google Sites, proprietary software, etc.)",One to three months,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow",NA,NA,Agree,Neither Agree nor Disagree,Disagree,C;C++;Java;JavaScript;SQL;TypeScript;HTML;CSS;Bash/Shell,C++;Java;TypeScript,MySQL;IBM Db2,MySQL,Linux;Mainframe;Windows Desktop or Server,Android;Windows Desktop or Server,Angular;Node.js;Spring,Spring,IntelliJ;Notepad++;Visual Studio;Visual Studio Code,Windows,1,Agile;Lean,Git,A few times per week,No,NA,NA,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising,6,1,3,2,5,7,4,Increasing automation of jobs,Algorithms making important decisions,Prominent industry leaders,I'm worried about the dangers more than I'm excited about the possibilities.,Yes,No,Upper management at the company/organization,No,10 (Very Likely),Daily or almost daily,Yes,A few times per week,Yes,Yes,0 (Not Likely),I'm not sure,A little bit interested,Extremely interested,Somewhat interested,Somewhat interested,Very interested,Between 9:01 - 10:00 AM,5 - 8 hours,3 - 4 hours,1 - 2 times per week,NA,I don't typically exercise,Male,Straight or heterosexual,NA,White or of European descent,18 - 24 years old,NA,NA,The survey was an appropriate length,Neither easy nor difficult
101050,Yes,Yes,Bulgaria,No,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer,9-11 years,0-2 years,Moderately satisfied,Moderately satisfied,Working in a different or more specialized technical role than the one I'm in now,I am actively looking for a job,Less than a year ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101051,No,No,Turkey,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,Desktop or enterprise applications developer;Full-stack developer,12-14 years,6-8 years,Moderately satisfied,Slightly dissatisfied,Working as a founder or co-founder of my own company,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,5,6,4,3,8,7,10,2,9,1,2,1,3,8,4,10,7,5,9,11,6,2,1,5,4,3,1,2,4,3,7,6,5,A recruiter contacted me,NA,12000,Monthly,38148,TRY,"Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.);Slack;Trello;Other wiki tool (Github, Google Sites, proprietary software, etc.)",Three to six months,"Taken an online course in programming or software development (e.g. a MOOC);Completed an industry certification program (e.g. MCPD);Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",NA,NA,Agree,Disagree,Disagree,C#;JavaScript;SQL;TypeScript;HTML,C#;JavaScript,SQL Server;SQLite,SQL Server;SQLite;Elasticsearch,AWS;Windows Desktop or Server;Windows Phone,AWS;Windows Desktop or Server;Windows Phone,.NET Core,.NET Core;Xamarin,Notepad++;Visual Studio,Windows,2,Agile;Kanban;Scrum,Git;Team Foundation Version Control,Multiple times per day,Yes,No,NA,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Stopped going to a website because of their advertising,1,2,4,3,6,7,5,Increasing automation of jobs,Algorithms making important decisions,NA,NA,NA,NA,NA,NA,9,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I have one but it's out of date",NA,I'm not sure,Not at all interested,Not at all interested,Somewhat interested,Very interested,Somewhat interested,Between 8:01 - 9:00 AM,9 - 12 hours,1 - 2 hours,1 - 2 times per week,NA,1 - 2 times per week,NA,NA,NA,NA,NA,NA,NA,NA,NA
101052,Yes,Yes,United Kingdom,No,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer,12-14 years,6-8 years,Moderately satisfied,Moderately satisfied,Doing the same work,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,6,9,5,1,2,3,8,4,10,7,1,6,8,7,10,2,9,4,11,5,3,2,1,5,3,4,7,5,4,2,1,6,3,I received bad news about the future of my company or department,British pounds sterling (£),NA,Monthly,NA,GBP,Confluence;Jira;Slack,Three to six months,"Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees",NA,NA,Neither Agree nor Disagree,Agree,Strongly disagree,JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,NA,MongoDB;Redis;SQL Server;MySQL;PostgreSQL;SQLite;MariaDB;Memcached;Elasticsearch,NA,NA,NA,NA,NA,PHPStorm;Sublime Text;Vim,Windows,2,Agile;Scrum,Git,Multiple times per day,Yes,No,NA,Strongly disagree,Strongly disagree,Strongly agree,Stopped going to a website because of their advertising,4,1,7,6,2,3,5,"Artificial intelligence surpassing human intelligence (""the singularity"")",Algorithms making important decisions,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,Depends on what it is,The developer who wrote it,Yes,10 (Very Likely),Daily or almost daily,Yes,Daily or almost daily,Yes,"No, I know what it is but I don't have one",0 (Not Likely),Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101054,No,Yes,India,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",10 to 19 employees,Front-end developer,9-11 years,6-8 years,Moderately dissatisfied,Moderately dissatisfied,Doing the same work,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101057,Yes,Yes,India,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Full-stack developer,6-8 years,6-8 years,Slightly satisfied,Slightly satisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",Between 2 and 4 years ago,6,1,7,2,3,4,10,8,9,5,1,2,8,11,4,6,3,9,10,7,5,1,2,5,3,4,5,4,6,3,7,1,2,I did not receive an expected change in compensation,Indian rupees (₹),17,Monthly,0,INR,Confluence;Jira,Three to six months,"Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon",The official documentation and/or standards for the technology;The technology’s online help system,NA,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To improve my ability to work on a team with other programmers;To help me find new job opportunities",Agree,Strongly agree,Strongly disagree,Java;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,R,MySQL;Oracle,MongoDB;Apache HBase;Apache Hive;Google BigQuery;Google Cloud Storage,NA,AWS;Azure;Heroku,Angular;Hadoop;Spring,Django;Hadoop;Spring,Eclipse;IntelliJ;PyCharm,Windows,3,Agile;Evidence-based software engineering;Pair programming;Scrum,Git;Subversion,Multiple times per day,No,NA,NA,Strongly agree,Somewhat agree,Neither agree nor disagree,Clicked on an online advertisement,1,7,6,3,2,4,5,"Artificial intelligence surpassing human intelligence (""the singularity"")",Algorithms making important decisions,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",Upper management at the company/organization,Yes,10 (Very Likely),Multiple times per day,Yes,Multiple times per day,"No, I knew that Stack Overflow had a jobs board but have never used or visited it",Yes,NA,Yes,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Between 6:01 - 7:00 AM,1 - 4 hours,Over 4 hours,Never,Standing desk;Wrist/hand supports or braces,I don't typically exercise,Male,NA,Primary/elementary school,NA,25 - 34 years old,Yes,NA,The survey was too long,Somewhat easy
101058,No,No,Germany,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Information systems, information technology, or system administration",100 to 499 employees,Data scientist or machine learning specialist,6-8 years,0-2 years,Extremely satisfied,Moderately satisfied,Working in a different or more specialized technical role than the one I'm in now,I am not interested in new job opportunities,Less than a year ago,9,10,6,5,2,3,7,1,4,8,4,7,11,10,1,8,6,3,2,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A recruiter contacted me,Euros (€),50000,Yearly,61194,EUR,Confluence;Jira;Slack,Three to six months,"Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",NA,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To build my professional network;Because I find it enjoyable",Agree,Agree,Neither Agree nor Disagree,Java;JavaScript;Python;R;SQL;Bash/Shell,Python;Bash/Shell,MongoDB;MySQL;Elasticsearch,MongoDB;Redis;MySQL,NA,AWS,TensorFlow,NA,PyCharm;Vim;Visual Studio Code,MacOS,2,Agile;Kanban;Pair programming;Scrum,Git,Multiple times per day,Yes,Yes,The website I was visiting asked me to disable it;I wanted to support the website I was visiting by viewing their ads,Somewhat agree,Somewhat disagree,Neither agree nor disagree,NA,1,4,3,2,6,7,5,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Algorithms making important decisions,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,"Yes, but only within the company",The person who came up with the idea,Yes,7,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,Yes,"No, I know what it is but I don't have one",5,I'm not sure,Somewhat interested,A little bit interested,Somewhat interested,Somewhat interested,Somewhat interested,Between 7:01 - 8:00 AM,5 - 8 hours,1 - 2 hours,Never,NA,1 - 2 times per week,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",White or of European descent,25 - 34 years old,No,NA,The survey was too long,Neither easy nor difficult
101060,Yes,No,France,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Data scientist or machine learning specialist,6-8 years,3-5 years,Slightly satisfied,Slightly satisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,3,8,2,1,4,7,5,9,10,6,1,8,2,10,4,3,7,5,11,6,9,4,2,3,1,5,2,6,3,1,5,7,4,My job status or other personal status changed,Euros (€),45000,Yearly,55075,EUR,"Slack;Other wiki tool (Github, Google Sites, proprietary software, etc.)",Less than a month,"Taken an online course in programming or software development (e.g. a MOOC);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system",NA,NA,Neither Agree nor Disagree,Agree,Disagree,JavaScript;Python;HTML;CSS;Bash/Shell,Python;Bash/Shell,Cassandra;MongoDB;Redis;Amazon DynamoDB;Elasticsearch,MongoDB;Redis,AWS;Heroku;Linux,AWS;Linux,Angular;Node.js;React;TensorFlow;Torch/PyTorch,TensorFlow;Torch/PyTorch,IPython / Jupyter;Sublime Text;Vim,MacOS,1,Agile,Git;Mercurial,Multiple times per day,No,NA,NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising,1,5,3,2,6,7,4,NA,"Artificial intelligence surpassing human intelligence (""the singularity"")",Nobody,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,Depends on what it is,Upper management at the company/organization,Yes,6,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,Yes,"No, and I don't know what that is",6,No,Not at all interested,Not at all interested,A little bit interested,A little bit interested,Not at all interested,Between 9:01 - 10:00 AM,9 - 12 hours,30 - 59 minutes,Never,Standing desk,Daily or almost every day,Female,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",White or of European descent,25 - 34 years old,No,NA,The survey was too long,Very easy
