Respondent,MainBranch,Hobbyist,Age,Age1stCode,CompFreq,CompTotal,ConvertedComp,Country,CurrencyDesc,CurrencySymbol,DatabaseDesireNextYear,DatabaseWorkedWith,DevType,EdLevel,Employment,Ethnicity,Gender,JobFactors,JobSat,JobSeek,LanguageDesireNextYear,LanguageWorkedWith,MiscTechDesireNextYear,MiscTechWorkedWith,NEWCollabToolsDesireNextYear,NEWCollabToolsWorkedWith,NEWDevOps,NEWDevOpsImpt,NEWEdImpt,NEWJobHunt,NEWJobHuntResearch,NEWLearn,NEWOffTopic,NEWOnboardGood,NEWOtherComms,NEWOvertime,NEWPurchaseResearch,NEWPurpleLink,NEWSOSites,NEWStuck,OpSys,OrgSize,PlatformDesireNextYear,PlatformWorkedWith,PurchaseWhat,Sexuality,SOAccount,SOComm,SOPartFreq,SOVisitFreq,SurveyEase,SurveyLength,Trans,UndergradMajor,WebframeDesireNextYear,WebframeWorkedWith,WelcomeChange,WorkWeekHrs,YearsCode,YearsCodePro
18084,I am a student who is learning to code,Yes,20,14,NA,NA,NA,India,NA,NA,Elasticsearch;Firebase,MongoDB;MySQL,"Data scientist or machine learning specialist;Designer;Developer, full-stack;Scientist","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Not employed, but looking for work",South Asian,Man,Flex time or a flexible schedule;Financial performance or funding status of the company or organization;How widely used or impactful my work output would be,NA,I am actively looking for a job,Dart,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;R;SQL,Apache Spark;Flutter;TensorFlow;Unreal Engine,Keras;Node.js;Pandas;Torch/PyTorch,"Jira;Github;Slack;Trello;Google Suite (Docs, Meet, etc)","Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",NA,NA,NA,NA,NA,Every few months,Yes,NA,Yes,NA,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers);Stack Overflow Talent (for hiring companies/recruiters),Meditate;Play games;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,MacOS,NA,Android,Arduino;AWS;Docker;Google Cloud Platform;Heroku;Kubernetes;Linux;MacOS;Raspberry Pi;Windows;WordPress,NA,Straight / Heterosexual,Yes,"Yes, somewhat",I have never participated in Q&A on Stack Overflow,A few times per week,Easy,Appropriate in length,No,NA,Django;Flask;Gatsby;React.js;Vue.js,Angular;Angular.js;Express;jQuery,Just as welcome now as I felt last year,NA,6,NA
18086,I am a developer by profession,No,26,15,Monthly,2642,7260,Brazil,Brazilian real,BRL,Cassandra;Elasticsearch,MySQL,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Hispanic or Latino/a/x;White or of European descent;Southeast Asian,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Dart;Go;Python;Rust,Go;Java;JavaScript;Python,Flutter;TensorFlow;Teraform;Torch/PyTorch,Teraform,"Confluence;Slack;Trello;Google Suite (Docs, Meet, etc)","Confluence;Trello;Google Suite (Docs, Meet, etc)",Not sure,Extremely important,Somewhat important,Better compensation;Wanting to work with new technologies,"Read company media, such as employee blogs or company culture videos;Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once a year,Not sure,Yes,No,Sometimes: 1-2 days per month but less than weekly,NA,Indifferent,Stack Overflow (public Q&A for anyone who codes),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Linux-based,"1,000 to 4,999 employees",Docker;Google Cloud Platform;Kubernetes,Docker;Google Cloud Platform;Kubernetes,I have little or no influence,Straight / Heterosexual,Yes,"No, not really",I have never participated in Q&A on Stack Overflow,A few times per week,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",NA,NA,Just as welcome now as I felt last year,40,11,3
18087,I am a developer by profession,Yes,29,17,Yearly,57000,61616,Germany,European Euro,EUR,Elasticsearch;Firebase;MariaDB;SQLite,Firebase;MariaDB;MySQL;PostgreSQL;SQLite,"Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",Slightly satisfied,I am not interested in new job opportunities,Bash/Shell/PowerShell;Go;Java;Kotlin;PHP;Python,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Kotlin;PHP;SQL;Swift,Flutter;React Native,NA,"Confluence;Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)","Confluence;Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Fairly important,Better compensation;Trouble with my teammates;Trouble with my direct manager;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family",Once a year,No,No,No,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Watch help / tutorial videos,MacOS,"1,000 to 4,999 employees",Android;Docker;Linux;MacOS;Raspberry Pi,Android;iOS;Linux;MacOS;WordPress,I have some influence,Straight / Heterosexual,Not sure/can't remember,"No, not really",NA,Multiple times per day,Neither easy nor difficult,Appropriate in length,No,"Information systems, information technology, or system administration",Spring;Symfony;Vue.js,Spring;Symfony,Just as welcome now as I felt last year,42,12,4
18088,I am a developer by profession,Yes,29,19,Monthly,8000,5172,Mexico,Mexican peso,MXN,Firebase;Microsoft SQL Server;Oracle;Redis,MariaDB;MongoDB;MySQL;SQLite,"Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile;Developer, QA or test","Professional degree (JD, MD, etc.)",Employed full-time,Hispanic or Latino/a/x,Man,Diversity of the company or organization;Specific department or team I’d be working on;Office environment or company culture,Very dissatisfied,"I’m not actively looking, but I am open to new opportunities",Dart;Go;Haskell;Rust;TypeScript,HTML/CSS;Java;JavaScript;Kotlin;Python;SQL,Ansible;Flutter;Hadoop;Pandas;React Native;TensorFlow,Node.js,Jira;Gitlab;Facebook Workplace;Microsoft Teams;Microsoft Azure;Stack Overflow for Teams,"Github;Slack;Trello;Google Suite (Docs, Meet, etc)",Yes,Somewhat important,Fairly important,Wanting to share accomplishments with a wider network;Better compensation;Better work/life balance;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind)",NA,No,No,Yes,Sometimes: 1-2 days per month but less than weekly,Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Meditate;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,Windows,20 to 99 employees,Arduino;AWS;Docker;Heroku;Kubernetes;Microsoft Azure;Raspberry Pi;Windows,Android;Linux,I have some influence,Straight / Heterosexual,Yes,Neutral,I have never participated in Q&A on Stack Overflow,Multiple times per day,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;Angular.js;Gatsby;Spring;Symfony,Django;Express;jQuery;React.js;Vue.js,Somewhat more welcome now than last year,36,10,6
18089,I am a developer by profession,Yes,34,15,Monthly,2400,31128,Austria,European Euro,EUR,MySQL;Redis,IBM DB2;Microsoft SQL Server;MySQL;Redis,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed part-time,White or of European descent,Man,Industry that I’d be working in;How widely used or impactful my work output would be;Opportunities for professional development,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",C#;Kotlin,C#;HTML/CSS;JavaScript;PHP;Python,.NET Core;Keras;Pandas;Puppet;React Native;TensorFlow;Torch/PyTorch;Unity 3D;Unreal Engine,.NET;.NET Core,Confluence;Jira;Github;Gitlab;Slack,Confluence;Jira;Github;Gitlab;Slack;Trello,No,Extremely important,Somewhat important,Wanting to share accomplishments with a wider network;Better work/life balance;Wanting to work with new technologies,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Directly asking current or past employees at the company",Once a year,Yes,Onboarding? What onboarding?,No,Often: 1-2 days per week or more,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Windows,2 to 9 employees,Android;Docker;Heroku;Kubernetes;Linux,Linux;Microsoft Azure;Windows,I have a great deal of influence,Straight / Heterosexual,Yes,Neutral,A few times per month or weekly,Multiple times per day,Easy,Too short,No,"Computer science, computer engineering, or software engineering",ASP.NET Core,ASP.NET;ASP.NET Core;jQuery;React.js,Just as welcome now as I felt last year,40,21,16
18090,I am a developer by profession,Yes,33,Younger than 5 years,Yearly,50000,50000,United States,United States dollar,USD,MySQL,MySQL,"Database administrator;Developer, full-stack;System administrator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,Flex time or a flexible schedule;Office environment or company culture;Opportunities for professional development,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;Python;SQL,C#;HTML/CSS;JavaScript;PHP;SQL,.NET;.NET Core;Node.js;Unity 3D;Xamarin,Node.js,"Confluence;Github;Slack;Trello;Google Suite (Docs, Meet, etc)","Confluence;Jira;Github;Slack;Trello;Google Suite (Docs, Meet, etc)",No,Somewhat important,Somewhat important,Better compensation;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Every few months,Not sure,No,Yes,Sometimes: 1-2 days per month but less than weekly,Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit,Amused,Stack Overflow (public Q&A for anyone who codes),Play games;Go for a walk or other physical activity;Panic;Do other work and come back later,Windows,2 to 9 employees,Android;AWS;Linux;Windows,Linux,I have some influence,Bisexual;Straight / Heterosexual,Yes,"No, not really",I have never participated in Q&A on Stack Overflow,Multiple times per day,Easy,NA,No,"A business discipline (such as accounting, finance, marketing, etc.)",Angular;Angular.js;Express;jQuery;React.js,Express;jQuery;React.js,Just as welcome now as I felt last year,35,17,1
18091,I am a developer by profession,Yes,22,15,NA,NA,NA,Egypt,NA,NA,Cassandra;Elasticsearch;Firebase;MongoDB;MySQL;PostgreSQL;Redis,Elasticsearch;MongoDB;MySQL;SQLite,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Not employed, but looking for work",Middle Eastern,Man,Specific department or team I’d be working on;Office environment or company culture;Opportunities for professional development,NA,I am actively looking for a job,Bash/Shell/PowerShell;C++;Go;Java;JavaScript;Ruby;Rust;SQL;TypeScript,Assembly;Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;Julia;PHP;Python;Ruby;Rust;SQL;TypeScript,Node.js,Keras;Node.js;Pandas;TensorFlow,Jira;Github;Gitlab;Slack,Jira;Github;Gitlab;Slack;Trello,NA,NA,Very important,Curious about other opportunities;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family",Every few months,Not sure,NA,No,NA,Start a free trial;Ask developers I know/work with,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Linux-based,NA,AWS;Docker;Google Cloud Platform;Kubernetes;Linux;Slack Apps and Integrations,Docker;Google Cloud Platform;Linux;Slack Apps and Integrations;Windows,NA,Straight / Heterosexual,Yes,"No, not really",I have never participated in Q&A on Stack Overflow,Daily or almost daily,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Express;Ruby on Rails,Angular;Angular.js;Express;Spring,Just as welcome now as I felt last year,NA,4,NA
18092,I am a student who is learning to code,Yes,NA,21,NA,NA,NA,Sri Lanka,NA,NA,Firebase;Oracle;PostgreSQL;Redis,Microsoft SQL Server;MongoDB;MySQL,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,South Asian,Man,Flex time or a flexible schedule;Office environment or company culture;Opportunities for professional development,NA,"I’m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;Dart;Go;Python;R;TypeScript,C#;C++;HTML/CSS;Java;JavaScript;PHP;SQL,.NET Core;Apache Spark;Flutter;Hadoop;Keras;Pandas;React Native;TensorFlow;Unreal Engine,.NET;Node.js;Unity 3D,Jira;Facebook Workplace;Microsoft Teams;Microsoft Azure;Stack Overflow for Teams,"Github;Slack;Trello;Google Suite (Docs, Meet, etc)",NA,NA,NA,NA,NA,Every few months,Not sure,NA,Yes,NA,Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Windows,NA,Android;AWS;Google Cloud Platform;iOS;MacOS;Microsoft Azure,Arduino;Linux;Slack Apps and Integrations;Windows;WordPress,NA,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,A few times per week,Easy,Appropriate in length,No,NA,ASP.NET;ASP.NET Core;React.js;Ruby on Rails;Spring,Angular;Express,Somewhat more welcome now than last year,NA,3,NA
18093,I am a developer by profession,No,28,16,Yearly,31500,40717,United Kingdom,Pound sterling,GBP,PostgreSQL;Redis,PostgreSQL;Redis,"Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist;Engineer, site reliability","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,White or of European descent,Man,"Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be;Office environment or company culture",Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Python;SQL,Python;SQL,Ansible;Chef;Node.js;Puppet,NA,"Jira;Github;Slack;Google Suite (Docs, Meet, etc)",Confluence;Jira;Github;Slack,No,Extremely important,Very important,Better compensation;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Once every few years,Not sure,No,No,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Panic;Do other work and come back later,Linux-based,2 to 9 employees,AWS;Linux;Slack Apps and Integrations,AWS;Linux,I have a great deal of influence,Bisexual,Yes,"No, not at all",I have never participated in Q&A on Stack Overflow,Daily or almost daily,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",React.js,NA,Just as welcome now as I felt last year,36,12,6
18094,I am a developer by profession,No,32,16,Yearly,87000,65799,Canada,Canadian dollar,CAD,NA,MySQL;SQLite,"Developer, back-end;Developer, full-stack;Developer, mobile","Associate degree (A.A., A.S., etc.)",Employed full-time,White or of European descent,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Remote work options",Very satisfied,"I’m not actively looking, but I am open to new opportunities",NA,C#;HTML/CSS;JavaScript;Python;SQL;Swift;TypeScript,NA,.NET;.NET Core;Node.js;TensorFlow,NA,Github;Slack;Microsoft Azure,No,Extremely important,Not at all important/not necessary,Curious about other opportunities;Better compensation,"Read company media, such as employee blogs or company culture videos;Personal network - friends or family",Once every few years,No,Onboarding? What onboarding?,No,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Ask developers I know/work with,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,Windows,2 to 9 employees,Docker;Kubernetes,Microsoft Azure;Windows,I have a great deal of influence,Straight / Heterosexual,Yes,"No, not at all",I have never participated in Q&A on Stack Overflow,A few times per week,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",NA,Angular;ASP.NET;ASP.NET Core;Flask;jQuery,Just as welcome now as I felt last year,40,11,9
