ResponseId,MainBranch,Employment,Country,US_State,UK_Country,EdLevel,Age1stCode,LearnCode,YearsCode,YearsCodePro,DevType,OrgSize,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSys,NEWStuck,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,NEWOtherComms,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,SurveyLength,SurveyEase,ConvertedCompYearly
40914,I am a developer by profession,Employed full-time,Norway,NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,Online Forum,19,6,"Developer, back-end;DevOps specialist",2 to 9 employees,NOK	Norwegian krone,1000000,Yearly,Bash/Shell;C#;HTML/CSS;JavaScript;Node.js;Python,Bash/Shell;C#;Python,Microsoft SQL Server;PostgreSQL;Redis;SQLite,PostgreSQL;Redis,DigitalOcean;Google Cloud Platform;Microsoft Azure,AWS;DigitalOcean;Google Cloud Platform;Microsoft Azure,ASP.NET Core ;Django;jQuery;React.js,ASP.NET Core ;Django,.NET Core / .NET 5;Flutter,.NET Core / .NET 5;Flutter,Docker;Git;Kubernetes;Xamarin;Yarn,Docker;Git;Kubernetes;Yarn,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,MacOS,Call a coworker or friend;Google it,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",No,35-44 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,107895
40915,I am a developer by profession,Employed full-time,Germany,NA,NA,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Books / Physical media",14,11,"Developer, full-stack;Engineering manager",100 to 499 employees,EUR European Euro,NA,NA,Bash/Shell;Crystal;HTML/CSS;JavaScript;Node.js;Ruby;SQL,Bash/Shell;Crystal;HTML/CSS;JavaScript;Node.js;Ruby;SQL,DynamoDB;Oracle;Redis,DynamoDB;Oracle;Redis,AWS;Heroku,AWS;Heroku,React.js;Ruby on Rails,React.js;Ruby on Rails,NA,NA,Git;Yarn,Git;Yarn,Visual Studio Code,Sublime Text;Visual Studio Code,MacOS,Call a coworker or friend;Visit Stack Overflow;Do other work and come back later,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,"No, not really",No,25-34 years old,Man,NA,NA,NA,NA,NA,Too long,Easy,NA
40916,I am a developer by profession,Employed full-time,France,NA,NA,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification",6,3,"Developer, front-end;Developer, full-stack;Developer, back-end",100 to 499 employees,EUR European Euro,NA,NA,Bash/Shell;Go;HTML/CSS;JavaScript;Kotlin;Python,Dart;Go;Julia;Kotlin;Python;Rust;Swift,Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;MySQL,NA,AWS;Google Cloud Platform,AWS;Heroku,React.js;Symfony,Laravel;React.js;Symfony,NA,NA,Docker;Git;Kubernetes;Terraform;Unity 3D;Unreal Engine,Git;Kubernetes;Terraform,PHPStorm;PyCharm,PHPStorm;PyCharm,MacOS,Call a coworker or friend;Visit Stack Overflow;Google it;Do other work and come back later,Stack Overflow,A few times per week,Yes,A few times per month or weekly,Neutral,No,25-34 years old,Man,Prefer not to say,Prefer not to say,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,NA
40917,I am a developer by profession,Employed full-time,United States of America,Colorado,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",5,4,"Developer, front-end",10 to 19 employees,USD	United States dollar,84000,Yearly,HTML/CSS;JavaScript;Node.js;TypeScript,HTML/CSS;JavaScript;Node.js;Python;Swift;TypeScript,DynamoDB;Firebase;PostgreSQL,Firebase;PostgreSQL,AWS;Google Cloud Platform;Microsoft Azure,AWS,Express;Gatsby;React.js;Vue.js,Angular;Express;Gatsby;React.js;Vue.js,NA,NA,Docker;Git,Unity 3D;Unreal Engine,Visual Studio Code,Visual Studio Code;Xcode,MacOS,Visit Stack Overflow;Play games,Stack Overflow,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,"No, not at all",No,18-24 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,84000
40918,I code primarily as a hobby,Employed full-time,Turkey,NA,NA,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification;Books / Physical media",3,NA,Product manager,NA,NA,NA,NA,HTML/CSS;JavaScript;Node.js;R,HTML/CSS;JavaScript;Node.js;Python;Swift,MongoDB,MongoDB;PostgreSQL,NA,NA,Angular;React.js,React.js,NA,NA,Docker,NA,Notepad++;PyCharm;Visual Studio Code;Webstorm,Notepad++;PyCharm;Visual Studio;Visual Studio Code;Webstorm;Xcode,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,Neutral,No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,NA
40919,I am a student who is learning to code,"Student, full-time",India,NA,NA,Some college/university study without earning a degree,11 - 17 years,School;Online Forum,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ASP.NET Core ,jQuery;React.js,.NET Framework,.NET Framework;.NET Core / .NET 5;NumPy;Pandas,Git,Git;Terraform;Unreal Engine,IPython/Jupyter;Sublime Text;Vim;Visual Studio,IPython/Jupyter;PyCharm;Sublime Text;Vim;Visual Studio,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies),A few times per week,Yes,Less than once per month or monthly,"Yes, definitely",Yes,18-24 years old,Man,No,Straight / Heterosexual,South Asian,None of the above,I have an anxiety disorder,Appropriate in length,Easy,NA
40920,I am a developer by profession,"Student, full-time",Switzerland,NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Colleague",10,NA,NA,NA,NA,NA,NA,C;C++;Python,C;C++;JavaScript;Julia;Python,MySQL,MariaDB;MongoDB;MySQL,AWS,AWS;Google Cloud Platform;Microsoft Azure,jQuery,Django;Drupal;Flask,Keras;NumPy;Pandas;Qt;TensorFlow,Keras;NumPy;Pandas;TensorFlow;Torch/PyTorch,Docker;Git,Docker;Git,IPython/Jupyter;Sublime Text;Visual Studio;Visual Studio Code,IPython/Jupyter;Sublime Text;Visual Studio;Visual Studio Code,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,"Yes, somewhat",No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,NA
40921,"I used to be a developer by profession, but no longer am",Employed full-time,Sweden,NA,NA,Some college/university study without earning a degree,11 - 17 years,School;Friend or family member,5,4,Marketing or sales professional,NA,NA,NA,NA,Bash/Shell;C;C++;JavaScript;Node.js;SQL,NA,MySQL;Oracle;SQLite,NA,NA,NA,NA,NA,NA,NA,NA,NA,Visual Studio Code,NA,Windows,Visit Stack Overflow;Google it;Do other work and come back later,Stack Overflow,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"No, not at all",No,55-64 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,NA
40922,I am a developer by profession,Employed full-time,Brazil,NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification;Books / Physical media",8,3,"Developer, front-end;Developer, full-stack;Developer, back-end","1,000 to 4,999 employees",BRL	Brazilian real,7300,Monthly,HTML/CSS;Java;JavaScript;SQL;TypeScript,Dart;HTML/CSS;Java;JavaScript;Kotlin;Node.js;SQL;TypeScript,Microsoft SQL Server;Redis,MongoDB;MySQL,Google Cloud Platform,AWS,Angular;Spring,Angular;Express;React.js;Spring;Svelte,NA,NA,Git,Docker;Git;Kubernetes;Unity 3D,Eclipse;IntelliJ;Notepad++;Visual Studio Code,IntelliJ;Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Google it;Do other work and come back later,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,"Yes, somewhat",No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,20064
40923,I am a developer by profession,Employed full-time,Nigeria,NA,NA,"Professional degree (JD, MD, etc.)",25 - 34 years,Online Courses or Certification;Books / Physical media,6,3,"Developer, mobile",10 to 19 employees,NGN	Nigerian naira,90000,Monthly,Dart;HTML/CSS;JavaScript;Node.js;PHP;SQL,Dart;HTML/CSS;JavaScript;Kotlin;Node.js;PHP;Python;SQL;TypeScript,Firebase;MongoDB;MySQL;SQLite,Firebase;Microsoft SQL Server;MongoDB;MySQL;SQLite,Heroku,NA,Express;React.js,Express;Laravel;React.js;Vue.js,Flutter,Flutter,NA,NA,Atom;Visual Studio Code,Visual Studio Code,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Visit another developer community (please name):,Stack Overflow,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",Yes,25-34 years old,Man,No,Straight / Heterosexual,Black or of African descent,None of the above,None of the above,Too long,Easy,2964
