ResponseId,Q120,MainBranch,Age,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,TechList,BuyNewTool,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,AISearchHaveWorkedWith,AISearchWantToWorkWith,AIDevHaveWorkedWith,AIDevWantToWorkWith,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,SOAI,AISelect,AISent,AIAcc,AIBen,AIToolInterested in Using,AIToolCurrently Using,AIToolNot interested in Using,AINextVery different,AINextNeither different nor similar,AINextSomewhat similar,AINextVery similar,AINextSomewhat different,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,ProfessionalTech,Industry,SurveyLength,SurveyEase,ConvertedCompYearly
66923,I agree,I am a developer by profession,45-54 years old,"Independent contractor, freelancer, or self-employed",Remote,Hobby;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;How-to videos;Video-based Online Courses;Written Tutorials;Click to write Choice 20;Stack Overflow,Pluralsight,32,26,"Developer, full-stack","Just me - I am a freelancer, sole proprietor, etc.",I have a great deal of influence,Investigate,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Canada,CAD	Canadian dollar,200000,Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript;PowerShell;SQL,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;Rust;TypeScript,Microsoft SQL Server,Cosmos DB;DuckDB;Microsoft SQL Server;MongoDB;PostgreSQL;Redis;SQLite,Microsoft Azure;VMware,Cloudflare;Digital Ocean;Microsoft Azure;Vercel;VMware,ASP.NET;jQuery;Node.js;Vue.js,ASP.NET CORE;Deno;Express;Next.js;Node.js;React;Remix;Vue.js,.NET Framework (1.0 - 4.8);Xamarin,.NET (5+) ;.NET MAUI;Electron;React Native;Uno Platform,Homebrew;MSBuild;npm;NuGet;Visual Studio Solution,Docker;Homebrew;MSBuild;npm;NuGet;Visual Studio Solution,Notepad++;Visual Studio;Visual Studio Code;WebStorm,DataGrip;Notepad++;Rider;Visual Studio Code;WebStorm,iOS;iPadOS;MacOS;Ubuntu;Windows;Windows Subsystem for Linux (WSL),iOS;iPadOS;MacOS;Ubuntu;Windows;Windows Subsystem for Linux (WSL),GitHub Discussions,GitHub Discussions,Signal;Skype;Zoom,Discord;Signal;Skype;Slack;Zoom,Bing AI;ChatGPT;WolframAlpha,Bing AI;ChatGPT;WolframAlpha,NA,NA,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,"Yes, somewhat",NA,"No, but I plan to soon",Indifferent,NA,Neither trust nor distrust,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Neither easy nor difficult,148703
66924,I agree,I code primarily as a hobby,18-24 years old,"Employed, part-time",In-person,Hobby;Contribute to open-source projects;School or academic work,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Video-based Online Courses;Written Tutorials;Stack Overflow;Interactive tutorial,NA,6,NA,Student,NA,NA,Other,Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Canada,NA,NA,C;C++;Haskell;HTML/CSS;JavaScript;Lisp;Lua;Python;Rust;SQL;TypeScript,Go;Julia;Python;Rust;Zig,MongoDB;PostgreSQL,PostgreSQL,Cloudflare;Heroku;Netlify;Vercel,Cloudflare;Netlify;Vercel,Next.js;Svelte,Deno;Svelte,Hugging Face Transformers;NumPy;Opencv;Tauri;TensorFlow,NumPy;Tauri,Cargo;CMake;GNU GCC;LLVM's Clang;Make;Vite,Cargo;Make;Ninja;Vite,Emacs;Helix;Jupyter Notebook/JupyterLab;Neovim;Visual Studio Code,Helix,Fedora,,Markdown File;Notion,Markdown File,Discord,NA,NA,NA,NA,NA,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"No, not at all",NA,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA
66925,I agree,I am learning to code,Under 18 years old,I prefer not to say,NA,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Online Courses or Certification;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;How-to videos;Video-based Online Courses;Written-based Online Courses;Written Tutorials;Stack Overflow,Other,3,NA,NA,NA,NA,Given a list,Ask developers I know/work with;Visit developer communities like Stack Overflow,Poland,NA,NA,C#;JavaScript;Python,JavaScript;Python,NA,NA,NA,NA,React,React,NA,NA,npm;pnpm;Vite,pnpm;Vite,Visual Studio Code,Visual Studio Code,Windows,Windows,NA,NA,Discord,Discord,ChatGPT,NA,GitHub Copilot;Tabnine,Tabnine,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,Neutral,NA,Yes,Favorable,Increase productivity;Greater efficiency;Improve accuracy in coding,Neither trust nor distrust,Documenting code;Debugging and getting help;Testing code;Deployment and monitoring,Writing code,Learning about a codebase;Project planning;Documenting code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ;Other (please describe),,Writing code,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Neither easy nor difficult,NA
66926,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Hobby;Bootstrapping a business,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Online challenges (e.g., daily or weekly coding challenges)",NA,11,6,"Developer, full-stack",100 to 499 employees,I have little or no influence,NA,Ask developers I know/work with;Visit developer communities like Stack Overflow,United States of America,USD	United States dollar,155000,C#;Go;HTML/CSS;Java;JavaScript;Lua;Python;SQL;TypeScript,Go;TypeScript,MongoDB;PostgreSQL;Redis,MongoDB;Redis,Amazon Web Services (AWS),Amazon Web Services (AWS),ASP.NET CORE;Next.js;React;Spring Boot;Svelte,Next.js;Svelte,RabbitMQ;Spring Framework,NA,Docker;Gradle;Homebrew;Kubernetes;Make;npm;Pacman;Pip;Vite;Webpack;Yarn,Docker,Neovim,Neovim,Windows;Windows Subsystem for Linux (WSL),MacOS,Confluence;Jira,NA,Mattermost;Microsoft Teams,NA,ChatGPT,NA,NA,NA,Stack Overflow,A few times per month or weekly,Yes,Less than once per month or monthly,"Yes, somewhat",NA,Yes,Favorable,Increase productivity;Greater efficiency;Improve accuracy in coding,Somewhat distrust,Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring,Writing code;Documenting code,Learning about a codebase;Project planning;Collaborating with teammates ,Writing code,,,,,Yes,Individual contributor,6,Disagree,Disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Never,Never,Never,Over 120 minutes a day,60-120 minutes a day,Microservices;Automated testing;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Easy,155000
66927,I agree,"I am not primarily a developer, but I write code sometimes as part of my work/studies",35-44 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, full-time",Remote,Hobby;Freelance/contract work;School or academic work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Books / Physical media,NA,NA,25,NA,Data or business analyst,NA,NA,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Brazil,NA,NA,Assembly;Bash/Shell (all shells);Python;R;Scala;SQL,Assembly;Bash/Shell (all shells);C;Clojure;Dart;HTML/CSS;JavaScript;Scala;SQL,Elasticsearch;Firebase Realtime Database;MariaDB;Microsoft Access;Microsoft SQL Server;MySQL;Oracle;SQLite,Elasticsearch;Microsoft SQL Server;SQLite,Firebase;Microsoft Azure;Oracle Cloud Infrastructure (OCI),Amazon Web Services (AWS);Digital Ocean;Google Cloud;Microsoft Azure;OpenStack;Vercel,Flask;Ruby on Rails,Flask;jQuery;Play Framework;Ruby on Rails,Apache Kafka;Apache Spark;CUDA;Hadoop;NumPy;Opencv;Pandas;Scikit-Learn;TensorFlow;Tidyverse;Torch/PyTorch,Apache Kafka;Apache Spark;CUDA;Flutter;Hadoop;Hugging Face Transformers;Opencv;Qt;RabbitMQ;Torch/PyTorch,APT;CMake;GNU GCC;Make;Meson;Pip,Ansible;APT;CMake;Docker;GNU GCC;Kubernetes;Make;Pip,Android Studio;IPython;Jupyter Notebook/JupyterLab;RStudio;Vim;Visual Studio Code,Android Studio;IntelliJ IDEA;Jupyter Notebook/JupyterLab;Qt Creator;Vim;Visual Studio Code,Android;Cygwin;Debian;Red Hat;Ubuntu,Android;Cygwin;Debian;Ubuntu;Windows;Windows Subsystem for Linux (WSL),Confluence;Jira;Markdown File;Microsoft Lists;Microsoft Planner;Miro;Redmine;Trello;Wikis,Azure Devops;Confluence;Jira;Notion,Cisco Webex Teams;Google Meet;Matrix;Microsoft Teams;Signal;Telegram;Whatsapp;Wire;Zoom,Matrix;Signal,ChatGPT,Bing AI;ChatGPT;Google Bard AI,NA,NA,Stack Overflow;Stack Exchange;Collectives on Stack Overflow,A few times per week,Yes,A few times per week,"No, not really","Content generated by LLMs and similar generative AI lack nuance, real understanding and are often out of date or just incorrect. Barring some new revolutionary technique, it will stay that way. Answers generated unxer those circumstances are just bad. They might be more relevant to improve things like API or library documentation.",Yes,Very favorable,Increase productivity;Speed up learning,Somewhat distrust,Documenting code;Debugging and getting help;Testing code;Deployment and monitoring;Collaborating with teammates ,Learning about a codebase;Project planning;Writing code,Committing and reviewing code,Writing code,,,,Learning about a codebase;Project planning,Yes,Individual contributor,18,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Disagree,1-2 times a week,Never,10+ times a week,Over 120 minutes a day,Over 120 minutes a day,DevOps function;Microservices;Automated testing;Observability tools;Developer portal or other central places to find tools/services,Healthcare,Appropriate in length,Easy,NA
66928,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",In-person,Hobby;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Colleague;On the job training;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Interactive tutorial,NA,7,5,"Developer, front-end",100 to 499 employees,I have a great deal of influence,Investigate,Ask developers I know/work with;Visit developer communities like Stack Overflow,Finland,EUR European Euro,NA,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;Python;TypeScript,MongoDB,PostgreSQL,Amazon Web Services (AWS);Cloudflare,Amazon Web Services (AWS);Cloudflare,React,React;Remix,NA,NA,npm;Webpack;Yarn,npm;Webpack;Yarn,Visual Studio Code,Visual Studio Code,MacOS,MacOS,Miro;Notion,Miro;Notion,Google Meet;Slack,Discord;Google Meet;Slack,ChatGPT,NA,NA,NA,Stack Overflow,A few times per month or weekly,No,NA,"No, not at all",-,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,5,Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly disagree,1-2 times a week,1-2 times a week,Never,30-60 minutes a day,30-60 minutes a day,DevOps function;Continuous integration (CI) and (more often) continuous delivery,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Easy,NA
66929,I agree,I am a developer by profession,18-24 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Online Courses or Certification;Other online resources (e.g., videos, blogs, forum)",Recorded coding sessions;How-to videos;Interactive tutorial;Certification videos,Other,2,1,"Developer, back-end","10,000 or more employees",I have some influence,Investigate,Visit developer communities like Stack Overflow,India,INR	Indian rupee,800000,HTML/CSS;Java;PowerShell;Scala;SQL,Java;PowerShell,Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;SQLite,Oracle;PostgreSQL,OpenStack;VMware,OpenStack;VMware,Spring Boot,Spring Boot,Apache Kafka;Apache Spark;Pandas;Scikit-Learn;Spring Framework;TensorFlow,Apache Kafka;Apache Spark;Pandas;Scikit-Learn;Spring Framework;TensorFlow,NA,NA,Atom;Eclipse,Eclipse,ChromeOS;Debian;iPadOS;Ubuntu;Windows,iPadOS;Ubuntu;Windows,NA,NA,NA,NA,NA,NA,NA,NA,Stack Overflow,Daily or almost daily,No,NA,Neutral,"AI could be a section, but in forum answer only.",Yes,Very favorable,Increase productivity,Somewhat trust,Project planning;Writing code;Documenting code,Learning about a codebase;Project planning;Writing code;Documenting code,,,,,,Learning about a codebase;Project planning;Writing code;Documenting code,Yes,People manager,2,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,1-2 times a week,1-2 times a week,1-2 times a week,30-60 minutes a day,15-30 minutes a day,DevOps function;Microservices;Observability tools;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Financial Services,Too long,Neither easy nor difficult,9694
66930,I agree,I code primarily as a hobby,Under 18 years old,"Independent contractor, freelancer, or self-employed;Student, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses;School or academic work,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Books / Physical media;Colleague;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Written Tutorials;Click to write Choice 20;Stack Overflow,NA,5,NA,NA,NA,NA,Investigate,Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Viet Nam,NA,NA,C++;GDScript;HTML/CSS;JavaScript;Python;TypeScript,C++;GDScript;HTML/CSS;Python;Rust;TypeScript,NA,NA,Microsoft Azure,Amazon Web Services (AWS),Flask;jQuery;Node.js;React,Deno;Django;jQuery;Node.js;Nuxt.js;React,TensorFlow,Flutter;Hugging Face Transformers;TensorFlow,Godot;npm,Godot;npm;Unity 3D;Unreal Engine;Webpack,Visual Studio Code,Vim;Visual Studio;Visual Studio Code,Windows,Windows,Notion,GitHub Discussions;Notion,Discord;Microsoft Teams,Discord,NA,NA,NA,NA,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",NA,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Neither easy nor difficult,NA
66931,I agree,I am a developer by profession,35-44 years old,"Employed, full-time",Remote,I don’t code outside of work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Written Tutorials;Stack Overflow,NA,17,15,Engineering manager,2 to 9 employees,I have a great deal of influence,Investigate,Start a free trial;Visit developer communities like Stack Overflow,Slovenia,EUR European Euro,80000,JavaScript;Ruby;SQL,NA,Elasticsearch;PostgreSQL;Redis,NA,Amazon Web Services (AWS),NA,Vue.js,NA,RabbitMQ,NA,Docker;Kubernetes;npm;Vite;Webpack;Yarn,NA,Sublime Text,NA,Other Linux-based,,Trello,NA,Slack,NA,ChatGPT,NA,NA,NA,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"Yes, somewhat",NA,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85672
66932,I agree,I am a developer by profession,35-44 years old,"Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Professional development or self-paced learning from online courses,Some college/university study without earning a degree,"Books / Physical media;Colleague;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);Coding Bootcamp",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Certification videos,Other;Udemy,Less than 1 year,10,"Developer, desktop or enterprise applications",2 to 9 employees,I have some influence,Investigate,Start a free trial;Research companies that have emailed me,"Venezuela, Bolivarian Republic of...",USD	United States dollar,3000,Delphi;PHP;SQL,Delphi;JavaScript;Python,BigQuery;Couchbase;MariaDB;Microsoft SQL Server;MySQL,MongoDB,Digital Ocean;VMware,Amazon Web Services (AWS);Cloudflare;Google Cloud;Heroku;Microsoft Azure;Oracle Cloud Infrastructure (OCI),Django;Node.js,AngularJS;CodeIgniter;Django;Laravel,NA,NA,Composer;Docker;Pip,Kubernetes,NA,NA,MacOS;Windows;Windows Subsystem for Linux (WSL),,GitHub Discussions,NA,Skype;Slack;Telegram;Whatsapp;Zoom,NA,NA,NA,NA,NA,Collectives on Stack Overflow,A few times per week,Not sure/can't remember,NA,Neutral,NA,"No, but I plan to soon",Very favorable,NA,Neither trust nor distrust,NA,NA,NA,NA,NA,NA,NA,NA,Yes,People manager,25,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Never,1-2 times a week,Never,15-30 minutes a day,30-60 minutes a day,DevOps function;Microservices;Developer portal or other central places to find tools/services,"Information Services, IT, Software Development, or other Technology",Too long,Easy,3000
