ResponseId,MainBranch,Age,Employment,RemoteWork,Check,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,TechDoc,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,BuildvsBuy,TechEndorse,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,LanguageAdmired,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,DatabaseAdmired,PlatformHaveWorkedWith,PlatformWantToWorkWith,PlatformAdmired,WebframeHaveWorkedWith,WebframeWantToWorkWith,WebframeAdmired,EmbeddedHaveWorkedWith,EmbeddedWantToWorkWith,EmbeddedAdmired,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,MiscTechAdmired,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,ToolsTechAdmired,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,NEWCollabToolsAdmired,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackAsyncAdmired,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,OfficeStackSyncAdmired,AISearchDevHaveWorkedWith,AISearchDevWantToWorkWith,AISearchDevAdmired,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOHow,SOComm,AISelect,AISent,AIBen,AIAcc,AIComplex,AIToolCurrently Using,AIToolInterested in Using,AIToolNot interested in Using,AINextMuch more integrated,AINextNo change,AINextMore integrated,AINextLess integrated,AINextMuch less integrated,AIThreat,AIEthics,AIChallenges,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Knowledge_9,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Frustration,ProfessionalTech,ProfessionalCloud,ProfessionalQuestion,Industry,JobSatPoints_1,JobSatPoints_4,JobSatPoints_5,JobSatPoints_6,JobSatPoints_7,JobSatPoints_8,JobSatPoints_9,JobSatPoints_10,JobSatPoints_11,SurveyLength,SurveyEase,ConvertedCompYearly,JobSat
49877,I am a developer by profession,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Apples,Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Colleague;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification;Coding Bootcamp;Friend or family member","Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Coding sessions (live or recorded);Social Media;How-to videos;Interactive tutorial;Video-based Online Courses;Written-based Online Courses;AI;Certification videos;Online challenges (e.g., daily or weekly coding challenges)",API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine;AI-powered search/dev tool (free);AI-powered search/dev tool (paid),9,6,Cloud infrastructure engineer,20 to 99 employees,I have little or no influence,Start a free trial;Ask developers I know/work with;Ask a generative AI tool;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Customization;Integrated developer community;Quality support system;AI tool integration;Reputation for quality and excellence;Frequent updates to features;Connected to an open source project,Sri Lanka,LKR	Sri Lankan rupee,NA,Bash/Shell (all shells);Java;JavaScript;PowerShell;Python;SQL,Dart;Rust,NA,Dynamodb;IBM DB2;Microsoft SQL Server;MySQL;PostgreSQL;Redis;Snowflake;SQLite,BigQuery;Cassandra;Clickhouse;Cloud Firestore;Cockroachdb;Cosmos DB;Couch DB;Couchbase;Databricks SQL;Datomic;DuckDB;Dynamodb;Elasticsearch;EventStoreDB;Firebase Realtime Database;Firebird;H2;IBM DB2;InfluxDB;MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Neo4J;Oracle;PostgreSQL;Presto;RavenDB;Redis;Snowflake;Solr;SQLite;Supabase;TiDB,Dynamodb;IBM DB2;Microsoft SQL Server;MySQL;PostgreSQL;Redis;Snowflake;SQLite,Amazon Web Services (AWS);VMware,Amazon Web Services (AWS);Google Cloud;Microsoft Azure;VMware,Amazon Web Services (AWS);VMware,Django,Django;Express;FastAPI;NestJS;Next.js;Node.js;Nuxt.js;React;Vue.js,Django,NA,NA,NA,NA,NA,NA,Docker;Pip;Terraform,Docker;Kubernetes;Pip;Terraform,Docker;Pip;Terraform,Android Studio;IntelliJ IDEA;PyCharm,IntelliJ IDEA;PyCharm,IntelliJ IDEA;PyCharm,Ubuntu;Windows;Windows Subsystem for Linux (WSL),Ubuntu;Windows;Windows Subsystem for Linux (WSL),Jira,Jira;Notion,Jira,Google Meet;Microsoft Teams;Slack;Telegram;Whatsapp;Zoom,Google Meet;Microsoft Teams;Slack;Telegram;Whatsapp;Zoom,Google Meet;Microsoft Teams;Slack;Telegram;Whatsapp;Zoom,ChatGPT;Google Gemini,ChatGPT;Google Gemini,ChatGPT;Google Gemini,Stack Overflow,A few times per week,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Showcase expertise with code solutions;Engage with community by commenting on questions and answers or voting on questions and answers;Learning new-to-me technology/techniques;Learning new-to-everyone technology/techniques,"Yes, definitely",Yes,Favorable,Increase productivity;Greater efficiency;Improve collaboration;Speed up learning;Improve accuracy in coding;Make workload more manageable,Somewhat trust,Very well at handling complex tasks,Learning about a codebase;Writing code;Debugging and getting help;Testing code;Committing and reviewing code;Search for answers,Project planning;Documenting code;Deployment and monitoring;Predictive analytics;Generating content or synthetic data,,Learning about a codebase;Writing code;Debugging and getting help;Testing code;Committing and reviewing code;Search for answers,,,,,I'm not sure,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand,Don’t trust the output or answers;Not everyone uses them;We don’t have the right policies in place to reduce security risks,Yes,People manager,6,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,10+ times a week,10+ times a week,10+ times a week,Over 120 minutes a day,Over 120 minutes a day,Amount of technical debt;Tracking my work;Showing my contributions;Complexity of tech stack for deployment;Complexity of tech stack for build;Maintaining security of code being produced;Patching/updating core components;Maintaining security of systems/platforms used in work;Reliability of tools/systems used in work,DevOps function;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),AI-powered search (paid),Higher Education,100,50,100,100,100,100,50,50,100,Appropriate in length,Neither easy nor difficult,NA,10
49878,I am learning to code,25-34 years old,"Not employed, but looking for work",NA,Apples,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification","Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Interactive tutorial;Video-based Online Courses;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges)",API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine;AI-powered search/dev tool (free),9,NA,"Developer, mobile",NA,NA,NA,NA,NA,South Korea,NA,NA,C;C++;Java;Kotlin;Python,Kotlin;Python,Kotlin;Python,Firebase Realtime Database;MySQL;SQLite,Firebase Realtime Database,Firebase Realtime Database,Amazon Web Services (AWS);Firebase,Amazon Web Services (AWS);Firebase,Amazon Web Services (AWS);Firebase,NA,NA,NA,NA,NA,NA,NumPy;Pandas;Qt,NA,NA,Dagger;Gradle;Pip,Gradle,Gradle,Android Studio;Eclipse;IntelliJ IDEA;Jupyter Notebook/JupyterLab;Vim;Visual Studio;Visual Studio Code,Android Studio;IntelliJ IDEA;Visual Studio Code,Android Studio;IntelliJ IDEA;Visual Studio Code,Android;Windows;Windows Subsystem for Linux (WSL),Windows,Confluence;GitHub Discussions;Jira;Notion,Confluence;Jira;Notion,Confluence;Jira;Notion,Google Meet;Microsoft Teams;Slack;Zoom,Google Meet;Slack,Google Meet;Slack,ChatGPT;GitHub Copilot;Google Gemini,ChatGPT;Google Gemini,ChatGPT;Google Gemini,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,"No, not really",Yes,Favorable,Increase productivity;Greater efficiency;Speed up learning;Make workload more manageable,Somewhat trust,Neither good or bad at handling complex tasks,Learning about a codebase;Writing code;Documenting code,Debugging and getting help;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Search for answers;Generating content or synthetic data,Project planning;Testing code,,,Learning about a codebase;Writing code;Documenting code,,,Yes,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Neither easy nor difficult,NA,NA
49879,I am a developer by profession,35-44 years old,"Employed, full-time",Remote,Apples,I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Books / Physical media;Colleague;Online Courses or Certification,NA,NA,15,10,"Developer, front-end",100 to 499 employees,I have a great deal of influence,Ask developers I know/work with;Ask a generative AI tool,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Integrated developer community;Reputation for quality and excellence;Frequent updates to features;Connected to an open source project,Denmark,DKK	Danish krone,720000,Dart;HTML/CSS;JavaScript;TypeScript,Dart;HTML/CSS;JavaScript;TypeScript,Dart;HTML/CSS;JavaScript;TypeScript,SQLite,SQLite,SQLite,NA,NA,NA,Vue.js,Next.js;Node.js;Nuxt.js;React;Svelte;Vue.js,Vue.js,NA,NA,NA,.NET (5+) ;Flutter,Flutter,Flutter,Vite;Webpack;Yarn,Vite;Yarn,Vite;Yarn,Android Studio;Notepad++;Visual Studio Code,Notepad++;Visual Studio Code,Notepad++;Visual Studio Code,Other Linux-based;Windows,Windows,Confluence;Jira,Jira,Jira,Microsoft Teams,NA,NA,ChatGPT;Codeium;GitHub Copilot,ChatGPT;Codeium,ChatGPT;Codeium,Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast,A few times per week,Yes,Less than once per month or monthly,Quickly finding code solutions,Neutral,Yes,Favorable,Increase productivity;Greater efficiency,Somewhat distrust,Neither good or bad at handling complex tasks,Writing code;Debugging and getting help;Search for answers,Learning about a codebase;Project planning;Documenting code,Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Generating content or synthetic data,,,Writing code;Debugging and getting help;Search for answers,,,No,Circulating misinformation or disinformation;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too long,Neither easy nor difficult,NA,NA
49880,I am a developer by profession,65 years or older,"Not employed, but looking for work;Independent contractor, freelancer, or self-employed",Remote,Apples,Hobby;Professional development or self-paced learning from online courses;Freelance/contract work,Some college/university study without earning a degree,"Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification","Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;How-to videos;Interactive tutorial;Video-based Online Courses;Written-based Online Courses;AI;Online challenges (e.g., daily or weekly coding challenges)",API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine;AI-powered search/dev tool (free),40,30,"Developer, AI","Just me - I am a freelancer, sole proprietor, etc.",I have some influence,Ask developers I know/work with;Ask a generative AI tool;Visit developer communities like Stack Overflow,Is set up to be customized and needs to be engineered into a usable product,APIs;Customization;Reputation for quality and excellence;Frequent updates to features;Connected to an open source project,India,INR	Indian rupee,NA,Python;SQL,Python,Python,SQLite,Microsoft Access;SQLite,SQLite,Netlify,NA,NA,NA,NA,NA,NA,NA,NA,NumPy;Pandas;Scikit-Learn;Torch/PyTorch,Hugging Face Transformers;NumPy;Pandas;Qt;Scikit-Learn;Torch/PyTorch,NumPy;Pandas;Scikit-Learn;Torch/PyTorch,Pip,Pip,Pip,Jupyter Notebook/JupyterLab;Notepad++;Spyder,Jupyter Notebook/JupyterLab;Notepad++;Qt Creator;Spyder,Jupyter Notebook/JupyterLab;Notepad++;Spyder,Windows,Windows,Jira,NA,NA,Google Meet;Microsoft Teams;Whatsapp,Google Meet;Microsoft Teams;Whatsapp,Google Meet;Microsoft Teams;Whatsapp,ChatGPT,ChatGPT,ChatGPT,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques;Learning new-to-everyone technology/techniques,"No, not really","No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA,NA
49881,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification","Technical documentation;Books;Written Tutorials;Video-based Online Courses;Written-based Online Courses;Auditory material (e.g., podcasts)",First-party knowledge base;AI-powered search/dev tool (paid),8,6,"Developer, full-stack",100 to 499 employees,I have little or no influence,NA,NA,NA,Sweden,SEK	Swedish krona,660000,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;F#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server,Dynamodb;Microsoft SQL Server;MongoDB,Microsoft SQL Server,NA,NA,NA,jQuery;React,NA,NA,NA,NA,NA,.NET Framework (1.0 - 4.8),.NET (5+) ,NA,Docker;Visual Studio Solution;Yarn,Docker;Godot;Visual Studio Solution,Docker;Visual Studio Solution,Visual Studio;Visual Studio Code,Neovim;Visual Studio Code,Visual Studio Code,MacOS,Windows,Jira,Jira,Jira,Microsoft Teams;Slack,Slack,Slack,ChatGPT;GitHub Copilot;Visual Studio Intellicode,Amazon Q;GitHub Copilot;Visual Studio Intellicode,GitHub Copilot;Visual Studio Intellicode,Stack Overflow;Stack Overflow Blog or Podcast,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,"No, not at all",Yes,Very favorable,Speed up learning;Make workload more manageable;Other (please specify):,Somewhat trust,Neither good or bad at handling complex tasks,Learning about a codebase;Writing code;Debugging and getting help;Search for answers,Project planning;Documenting code;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Generating content or synthetic data,,Writing code;Search for answers,,Learning about a codebase;Debugging and getting help,,,No,Circulating misinformation or disinformation;Imitating a person's likeness;Energy demand,"AI tools lack context of codebase,  internal architecture, and/or company knowledge;Other (please specify):",Yes,Individual contributor,13,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,1-2 times a week,3-5 times a week,1-2 times a week,30-60 minutes a day,15-30 minutes a day,Amount of technical debt,Automated testing;AI-assisted technology tool(s);Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Fintech,0,0,0,0,0,0,0,0,0,Appropriate in length,Easy,NA,8
49882,I am a developer by profession,35-44 years old,"Employed, full-time",Remote,Apples,I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification","Blogs;Stack Overflow;Social Media;How-to videos;Video-based Online Courses;AI;Certification videos;Online challenges (e.g., daily or weekly coding challenges)",NA,15,13,"Developer, full-stack",10 to 19 employees,I have little or no influence,Start a free trial,NA,NA,India,INR	Indian rupee,NA,PHP,PHP,PHP,MySQL,MySQL,MySQL,NA,NA,NA,CodeIgniter;Laravel,CodeIgniter;Laravel;Node.js;React,CodeIgniter;Laravel,NA,NA,NA,NA,NA,NA,npm,npm,npm,Visual Studio Code,Visual Studio Code,Visual Studio Code,Windows,Windows,Asana;Monday.com,Monday.com,Monday.com,Google Chat;Google Meet;Skype;Whatsapp;Zoom,Google Chat;Google Meet;Skype;Whatsapp;Zoom,Google Chat;Google Meet;Skype;Whatsapp;Zoom,ChatGPT;Cody;Visual Studio Intellicode,ChatGPT;Cody;Visual Studio Intellicode,ChatGPT;Cody;Visual Studio Intellicode,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,"Yes, definitely","No, but I plan to soon",Favorable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Lack of proper training and education on new tools,Yes,Individual contributor,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,Never,Never,Never,15-30 minutes a day,15-30 minutes a day,None of these,Microservices,On-prem,AI-powered search (free),Computer Systems Design and Services,0,0,0,0,0,0,0,0,0,Too long,Easy,NA,7
49883,I am a developer by profession,35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum, online community);Other (please specify):",Written Tutorials;Stack Overflow;How-to videos;AI,NA,30,23,"Developer, full-stack","10,000 or more employees",I have little or no influence,Start a free trial,Is set up to be customized and needs to be engineered into a usable product,APIs;Customization;Quality support system;AI tool integration;Reputation for quality and excellence;Frequent updates to features,Netherlands,EUR European Euro,200000,Java;Python;TypeScript,Java;Python;TypeScript,Java;Python;TypeScript,DuckDB,DuckDB,DuckDB,Amazon Web Services (AWS),Amazon Web Services (AWS),Amazon Web Services (AWS),React,React,React,NA,NA,NA,NA,NA,NA,Ant;Dagger;Gradle;npm,Ant;Dagger;Gradle;npm,Ant;Dagger;Gradle;npm,IntelliJ IDEA,IntelliJ IDEA,IntelliJ IDEA,Other Linux-based;Windows,Other Linux-based;Windows,NA,NA,NA,Slack,Slack,Slack,Amazon Q,Amazon Q,Amazon Q,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions,"No, not at all",Yes,Favorable,Increase productivity;Greater efficiency;Improve accuracy in coding,Somewhat distrust,Neither good or bad at handling complex tasks,Writing code,Learning about a codebase;Project planning;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Search for answers;Generating content or synthetic data,,,,Writing code,,,Yes,Circulating misinformation or disinformation,"AI tools lack context of codebase,  internal architecture, and/or company knowledge",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA,NA
49884,I am a developer by profession,35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby;Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification","Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Coding sessions (live or recorded);Social Media;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Auditory material (e.g., podcasts)",API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine,11,9,"Developer, back-end","5,000 to 9,999 employees",I have little or no influence,Start a free trial;Ask developers I know/work with;Research companies that have advertised on sites I visit,Out-of-the-box is ready to go with little need for customization,APIs;Reputation for quality and excellence;Connected to an open source project,United States of America,USD	United States dollar,100000,PHP;SQL;TypeScript,C++;PHP;SQL;TypeScript,PHP;SQL;TypeScript,MariaDB;MySQL,MariaDB;MySQL,MariaDB;MySQL,NA,NA,NA,Angular,Angular,Angular,Arduino,Arduino,Arduino,Flutter,Flutter,Flutter,NA,NA,NA,PhpStorm;Visual Studio Code,PhpStorm;Vim;Visual Studio Code,PhpStorm;Visual Studio Code,Other Linux-based;Ubuntu;Windows;Windows Subsystem for Linux (WSL),Windows,Jira;Wikis,Jira;Wikis,Jira;Wikis,Microsoft Teams;Zoom,Jitsi,NA,Codeium,Codeium,Codeium,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast,Daily or almost daily,Yes,A few times per month or weekly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Engage with community by commenting on questions and answers or voting on questions and answers,"Yes, definitely","No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,9,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,1-2 times a week,3-5 times a week,1-2 times a week,60-120 minutes a day,30-60 minutes a day,Amount of technical debt;Reliability of tools/systems used in work,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,On-prem,A coworker,Software Development,0,0,0,50,0,0,50,0,0,Appropriate in length,Easy,NA,6
49885,I am a developer by profession,35-44 years old,"Employed, full-time",Remote,Apples,Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Other (please specify):",Blogs;Written Tutorials;Stack Overflow;How-to videos;AI,NA,24,13,"Developer, full-stack",20 to 99 employees,I have some influence,Start a free trial;Ask developers I know/work with;Ask a generative AI tool;Read ratings or reviews on third party sites like G2 Crowd;Research companies that have advertised on sites I visit;Research companies that have emailed me,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Customization;Integrated developer community;Quality support system;Reputation for quality and excellence;Connected to an open source project,Japan,JPY	Japanese yen,13000000,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,MySQL;Redis,PostgreSQL;Redis;SQLite,Redis,Amazon Web Services (AWS);Vercel,Cloudflare;Fly.io;Vercel,Vercel,Express;Flask;Node.js;React;Ruby on Rails,Express;Flask;Node.js;React;Ruby on Rails,Express;Flask;Node.js;React;Ruby on Rails,NA,NA,NA,Ruff,Ruff,Ruff,APT;Bun;Docker;Homebrew;Make;npm;Pip;Vite;Yarn,APT;Bun;Docker;Homebrew;npm;Vite;Yarn,APT;Bun;Docker;Homebrew;npm;Vite;Yarn,Neovim,Android Studio;Helix;Neovim,Neovim,MacOS,MacOS,Markdown File;Trello;Wikis,NA,NA,Google Meet;Skype;Slack;Zoom,Slack;Zoom,Slack;Zoom,ChatGPT;Phind,NA,NA,Stack Overflow,A few times per week,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques,Neutral,Yes,Very favorable,Increase productivity;Greater efficiency;Speed up learning,Neither trust nor distrust,"Good, but not great at handling complex tasks",Debugging and getting help;Search for answers;Generating content or synthetic data,Learning about a codebase;Writing code;Documenting code;Testing code;Committing and reviewing code,Project planning;Deployment and monitoring;Predictive analytics,Search for answers,Generating content or synthetic data,Debugging and getting help,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints;Imitating a person's likeness,Other (please specify):,Yes,Individual contributor,13,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,1-2 times a week,1-2 times a week,1-2 times a week,15-30 minutes a day,15-30 minutes a day,Patching/updating core components,DevOps function;Automated testing;Observability tools;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,20,10,0,20,20,10,10,10,0,Appropriate in length,Easy,NA,8
49886,I am a developer by profession,18-24 years old,"Not employed, but looking for work;Student, part-time",NA,Apples,NA,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Colleague;Online Courses or Certification;Friend or family member,NA,NA,5,2,"Developer, full-stack",NA,NA,NA,NA,NA,India,NA,NA,HTML/CSS;JavaScript;SQL,HTML/CSS;JavaScript;SQL,HTML/CSS;JavaScript;SQL,MySQL;PostgreSQL,MySQL;PostgreSQL,MySQL;PostgreSQL,Vercel,Vercel,Vercel,Htmx;jQuery;Next.js;Node.js;React,Htmx;jQuery;Next.js;Node.js;React,Htmx;jQuery;Next.js;Node.js;React,NA,NA,NA,NumPy;React Native,NumPy;React Native,NumPy;React Native,npm;Pip;Vite,npm;Pip;Vite,npm;Pip;Vite,Visual Studio,Visual Studio,Visual Studio,MacOS;Windows,MacOS;Windows,Jira,Jira,Jira,Google Chat;Slack;Zoom,Google Chat;Slack;Zoom,Google Chat;Slack;Zoom,Bing AI;ChatGPT;Claude;Codeium;Cody;GitHub Copilot;OpenAI Codex;Visual Studio Intellicode,Bing AI;ChatGPT;Claude;Codeium;Cody;GitHub Copilot;OpenAI Codex;Visual Studio Intellicode,Bing AI;ChatGPT;Claude;Codeium;Cody;GitHub Copilot;OpenAI Codex;Visual Studio Intellicode,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast;Overflow API,A few times per week,Yes,Less than once per month or monthly,Quickly finding code solutions;Learning new-to-everyone technology/techniques,"Yes, definitely",Yes,Very favorable,Increase productivity;Greater efficiency;Improve collaboration;Speed up learning;Improve accuracy in coding;Make workload more manageable,Somewhat trust,Bad at handling complex tasks,Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Testing code;Search for answers;Generating content or synthetic data,Project planning;Committing and reviewing code;Deployment and monitoring;Predictive analytics,,,,Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Testing code;Search for answers;Generating content or synthetic data,,,No,Circulating misinformation or disinformation;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Not everyone uses them",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA,NA
