ResponseId,Q120,MainBranch,Age,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,TechList,BuyNewTool,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,AISearchHaveWorkedWith,AISearchWantToWorkWith,AIDevHaveWorkedWith,AIDevWantToWorkWith,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,SOAI,AISelect,AISent,AIAcc,AIBen,AIToolInterested in Using,AIToolCurrently Using,AIToolNot interested in Using,AINextVery different,AINextNeither different nor similar,AINextSomewhat similar,AINextVery similar,AINextSomewhat different,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,ProfessionalTech,Industry,SurveyLength,SurveyEase,ConvertedCompYearly
27953,I agree,I am a developer by profession,35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Bootstrapping a business,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum)",Blogs with tips and tricks;Video-based Online Courses;Written-based Online Courses;Written Tutorials;Stack Overflow,Other,19,15,Engineering manager,"1,000 to 4,999 employees",I have some influence,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,United States of America,USD	United States dollar,210000,Bash/Shell (all shells);Java;JavaScript;Kotlin;Python,Bash/Shell (all shells);JavaScript;Kotlin;Python;Rust,Elasticsearch;MySQL;PostgreSQL,Elasticsearch;PostgreSQL,Amazon Web Services (AWS);Fly.io;Google Cloud;Vercel,Amazon Web Services (AWS),Express;NestJS;Next.js;React;Spring Boot,NestJS;Next.js,NA,NA,Homebrew;npm;pnpm;Yarn,Homebrew;npm,IntelliJ IDEA;Vim;Visual Studio Code,IntelliJ IDEA;Vim;Visual Studio Code,MacOS,MacOS,Confluence;Jira;Markdown File;Miro;Notion;Smartsheet;Tettra;Trello,Markdown File;Notion,Google Meet;Signal;Slack;Zoom,Signal;Slack;Zoom,ChatGPT,ChatGPT,GitHub Copilot,GitHub Copilot,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"No, not really",NA,"No, but I plan to soon",Favorable,NA,Neither trust nor distrust,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Neither easy nor difficult,210000
27954,I agree,I am a developer by profession,45-54 years old,"Independent contractor, freelancer, or self-employed",Remote,Hobby;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum);Other (please specify):",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Written Tutorials;Click to write Choice 20;Stack Overflow,NA,23,23,"Developer, full-stack","Just me - I am a freelancer, sole proprietor, etc.",I have a great deal of influence,Investigate,Start a free trial;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2 Crowd,United States of America,USD	United States dollar,200000,C#;HTML/CSS;PowerShell;SQL,C#;HTML/CSS;PowerShell;SQL,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,ASP.NET;ASP.NET CORE,ASP.NET;ASP.NET CORE,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI,Visual Studio Solution,Visual Studio Solution,Visual Studio,Visual Studio,Windows,Windows,NA,NA,NA,NA,NA,NA,NA,NA,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,Not sure,NA,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,200000
27955,I agree,I am a developer by profession,35-44 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Remote,Contribute to open-source projects;Bootstrapping a business,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;How-to videos;Video-based Online Courses;Written-based Online Courses;Written Tutorials;Stack Overflow,Codecademy;Udemy,23,18,"Developer, full-stack",20 to 99 employees,I have some influence,Given a list,Start a free trial;Ask developers I know/work with,United States of America,USD	United States dollar,200000,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,C#;HTML/CSS;JavaScript;Kotlin;PowerShell;SQL;TypeScript,Cosmos DB;Microsoft SQL Server,Cosmos DB;Microsoft SQL Server,Cloudflare;Microsoft Azure,Cloudflare;Microsoft Azure,Angular;AngularJS;ASP.NET;ASP.NET CORE;Blazor;jQuery;Node.js;React;Vue.js,Angular;AngularJS;ASP.NET;ASP.NET CORE;Blazor;Node.js;React;Svelte;Vue.js,.NET (5+) ;.NET Framework (1.0 - 4.8),.NET (5+) ;.NET MAUI;Electron,Docker;Kubernetes;MSBuild;npm;NuGet;Terraform;Webpack,Docker;Kubernetes;MSBuild;npm;NuGet;Terraform,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Windows,Windows,Azure Devops;Jira,Azure Devops,Microsoft Teams,Microsoft Teams,ChatGPT,Bing AI;ChatGPT,GitHub Copilot,GitHub Copilot,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"Yes, definitely","I will wait and see, no opinion as of yet","No, but I plan to soon",Indifferent,NA,Somewhat distrust,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,25,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Strongly disagree,1-2 times a week,Never,1-2 times a week,15-30 minutes a day,Less than 15 minutes a day,DevOps function;Observability tools;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;AI-assisted technology tool(s),"Information Services, IT, Software Development, or other Technology",Appropriate in length,Easy,200000
27956,I agree,I am a developer by profession,35-44 years old,"Employed, full-time",Remote,Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Colleague;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Coding Bootcamp",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Video-based Online Courses;Written-based Online Courses;Written Tutorials;Click to write Choice 20;Stack Overflow;Interactive tutorial;Certification videos;Programming Games,Codecademy;edX;Udemy;Coursera;Udacity,7,1,Data or business analyst,"1,000 to 4,999 employees",I have little or no influence,NA,Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit,United States of America,USD	United States dollar,85000,Crystal;HTML/CSS;JavaScript;PowerShell;Python;SQL,R,Microsoft SQL Server;MySQL;PostgreSQL;SQLite,BigQuery;MongoDB,Google Cloud;Heroku;VMware,Amazon Web Services (AWS);Digital Ocean,NA,NA,NA,NA,NA,NA,Atom;Eclipse;IntelliJ IDEA;Sublime Text;Visual Studio Code,NA,iOS;MacOS,Windows,Confluence;GitHub Discussions;Microsoft Lists;Microsoft Planner;Notion;Wikis,NA,Microsoft Teams;Skype;Zoom,NA,ChatGPT;Google Bard AI,NA,NA,NA,Stack Overflow,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",I think AI could help with forum answers,Yes,Indifferent,Increase productivity;Speed up learning;Improve accuracy in coding,Neither trust nor distrust,Learning about a codebase;Documenting code;Committing and reviewing code;Collaborating with teammates ,Writing code;Debugging and getting help;Testing code,Project planning;Deployment and monitoring,,,,Writing code;Debugging and getting help;Testing code,,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too long,Easy,85000
27957,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Colleague;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;How-to videos;Written Tutorials;Stack Overflow;Programming Games,NA,9,5,"Developer, full-stack",100 to 499 employees,I have some influence,Investigate,Ask developers I know/work with,Netherlands,EUR European Euro,45000,Go;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,Go;HTML/CSS;Java;Kotlin;TypeScript,H2;MySQL;PostgreSQL,PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),Angular;React;Spring Boot,Angular;React;Spring Boot,Micronaut;Spring Framework,Micronaut;Spring Framework,Docker;Gradle;Homebrew;Kubernetes;Make;Maven (build tool);npm;Webpack;Yarn,Docker;Gradle;Homebrew;Kubernetes;Make;Maven (build tool);npm;Webpack,IntelliJ IDEA,IntelliJ IDEA,Windows;Windows Subsystem for Linux (WSL),MacOS,Confluence;Markdown File;Notion,Confluence;Markdown File;Notion,Google Meet;Slack,Google Meet;Slack,NA,NA,NA,NA,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"No, not at all",NA,Yes,Indifferent,Increase productivity,Highly distrust,,Writing code;Debugging and getting help,Learning about a codebase;Project planning;Documenting code;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,,,,,Writing code;Debugging and getting help,Yes,NA,8,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,3-5 times a week,6-10 times a week,1-2 times a week,15-30 minutes a day,30-60 minutes a day,DevOps function;Microservices;Automated testing;Observability tools;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Legal Services,Appropriate in length,Neither easy nor difficult,48190
27958,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Hobby;Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Recorded coding sessions;How-to videos;Video-based Online Courses;Written-based Online Courses;Written Tutorials,NA,15,7,"Developer, full-stack",100 to 499 employees,I have little or no influence,NA,Ask developers I know/work with,United States of America,USD	United States dollar,160000,Elixir;HTML/CSS,Elixir;HTML/CSS;Rust;Solidity,PostgreSQL,PostgreSQL,Amazon Web Services (AWS);Digital Ocean;Render,Digital Ocean,Phoenix,Phoenix,NA,NA,NA,NA,Neovim;Sublime Text,Neovim,MacOS,MacOS,Confluence;GitHub Discussions;Jira;Markdown File;Shortcut,GitHub Discussions;Markdown File,Google Meet;Microsoft Teams;Slack,NA,NA,NA,NA,NA,Stack Overflow,Less than once per month or monthly,Not sure/can't remember,NA,"No, not at all",NA,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,7,Agree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,1-2 times a week,1-2 times a week,1-2 times a week,15-30 minutes a day,30-60 minutes a day,Automated testing;Continuous integration (CI) and (more often) continuous delivery,Other,Appropriate in length,Neither easy nor difficult,160000
27959,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);Coding Bootcamp",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;How-to videos;Video-based Online Courses;Written-based Online Courses;Written Tutorials;Stack Overflow,Codecademy;Udemy,6,6,"Engineer, data","1,000 to 4,999 employees",I have some influence,Investigate,Start a free trial,Brazil,BRL	Brazilian real,214000,C;Go;Java;Python;Scala,Clojure;Python;Scala,BigQuery;Elasticsearch;PostgreSQL,BigQuery;PostgreSQL,Amazon Web Services (AWS);Google Cloud,Amazon Web Services (AWS),NA,NA,NumPy;Pandas,TensorFlow,Docker;Homebrew;Kubernetes;Maven (build tool),Docker;Homebrew;Kubernetes,DataGrip;PyCharm;Visual Studio Code,PyCharm;Visual Studio Code,MacOS,MacOS,Jira;Trello,Jira,Google Chat;Google Meet;Slack;Whatsapp,Google Chat;Google Meet;Whatsapp,ChatGPT;WolframAlpha,ChatGPT,NA,NA,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"No, not really","Maybe, but having the first answer for a topic apart, I think that AI will probably will turn the conversation more bureaucratic","No, but I plan to soon",Favorable,NA,Somewhat trust,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,43415
27960,I agree,I am learning to code,35-44 years old,"Not employed, but looking for work",NA,NA,Some college/university study without earning a degree,"Books / Physical media;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);Coding Bootcamp",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Video-based Online Courses;Written-based Online Courses;Written Tutorials;Click to write Choice 20,Codecademy;edX;Udemy;Pluralsight;Coursera;Udacity;Skillsoft,1,NA,Other (please specify):,NA,NA,Investigate,Start a free trial;Visit developer communities like Stack Overflow;Ask a generative AI tool,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Android;Windows,Windows,NA,NA,NA,NA,NA,NA,NA,NA,Stack Overflow,Less than once per month or monthly,Yes,A few times per month or weekly,"No, not at all",great,Yes,Very favorable,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding,Neither trust nor distrust,Documenting code;Testing code;Committing and reviewing code;Deployment and monitoring,Learning about a codebase;Project planning;Writing code;Debugging and getting help,Collaborating with teammates ,,,,,Learning about a codebase;Project planning;Writing code;Debugging and getting help,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA
27961,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Hobby;Freelance/contract work,Some college/university study without earning a degree,"On the job training;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;How-to videos;Stack Overflow,NA,13,3,"Developer, full-stack",20 to 99 employees,I have a great deal of influence,Investigate,Read ratings or reviews on third party sites like G2 Crowd,Poland,PLN	Polish zloty,90000,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,MongoDB;MySQL;PostgreSQL;Redis,MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare;Firebase;Heroku;Netlify;OVH;Vercel,Cloudflare;OVH,Django;Express;Flask;jQuery;Laravel;Node.js;Nuxt.js;React;Spring Boot;Vue.js;WordPress,Django;Express;Node.js;Nuxt.js;Vue.js,Cordova;RabbitMQ;Spring Framework,Cordova;Flutter;RabbitMQ;TensorFlow,Docker;Gradle;Homebrew;Kubernetes;Maven (build tool);npm;Pip;Unity 3D;Unreal Engine;Vite,Docker;Kubernetes;npm;Pip;Vite,Android Studio;Visual Studio Code,Android Studio;Visual Studio Code,Android;ChromeOS;Debian;Ubuntu;Windows;Windows Subsystem for Linux (WSL),Android;ChromeOS;Debian;Ubuntu;Windows;Windows Subsystem for Linux (WSL),Airtable;GitHub Discussions;Jira;Markdown File,GitHub Discussions;Markdown File;Stack Overflow for Teams,Discord;Google Chat;Google Meet,Discord;Google Meet,ChatGPT,ChatGPT,AWS CodeWhisperer;GitHub Copilot,GitHub Copilot,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per week,"Yes, definitely",idk,Yes,Favorable,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding,Somewhat distrust,Learning about a codebase;Project planning;Debugging and getting help;Testing code;Committing and reviewing code;Collaborating with teammates ,Writing code;Documenting code,Deployment and monitoring,,,,,Writing code;Documenting code,Yes,Individual contributor,3,Agree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Never,1-2 times a week,1-2 times a week,15-30 minutes a day,15-30 minutes a day,Continuous integration (CI) and (more often) continuous delivery;AI-assisted technology tool(s),Advertising Services,Too long,Easy,21534
27962,I agree,"I used to be a developer by profession, but no longer am",25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Colleague;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;How-to videos;Video-based Online Courses;Written-based Online Courses;Stack Overflow,Pluralsight,12,7,Project manager,NA,NA,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,United States of America,NA,NA,C#;PowerShell;SQL,NA,Microsoft SQL Server,NA,NA,NA,ASP.NET;ASP.NET CORE,NA,.NET (5+) ;.NET Framework (1.0 - 4.8);Apache Kafka,NA,Kubernetes;MSBuild;NuGet,NA,Nano;Notepad++;Vim;Visual Studio,Nano;Notepad++,Windows,Windows,Wikis,Azure Devops,Microsoft Teams,Microsoft Teams,NA,NA,NA,NA,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,Neutral,"Stack Overflow has a long history of adding to our industry. Unlike a lot of companies, I trust Stack Overflow to implement AI in an ethical manner.","No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,7,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,10+ times a week,10+ times a week,1-2 times a week,30-60 minutes a day,30-60 minutes a day,Microservices,"Manufacturing, Transportation, or Supply Chain",Appropriate in length,Easy,NA
