ResponseId,MainBranch,Age,Employment,RemoteWork,Check,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,TechDoc,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,BuildvsBuy,TechEndorse,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,LanguageAdmired,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,DatabaseAdmired,PlatformHaveWorkedWith,PlatformWantToWorkWith,PlatformAdmired,WebframeHaveWorkedWith,WebframeWantToWorkWith,WebframeAdmired,EmbeddedHaveWorkedWith,EmbeddedWantToWorkWith,EmbeddedAdmired,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,MiscTechAdmired,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,ToolsTechAdmired,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,NEWCollabToolsAdmired,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackAsyncAdmired,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,OfficeStackSyncAdmired,AISearchDevHaveWorkedWith,AISearchDevWantToWorkWith,AISearchDevAdmired,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOHow,SOComm,AISelect,AISent,AIBen,AIAcc,AIComplex,AIToolCurrently Using,AIToolInterested in Using,AIToolNot interested in Using,AINextMuch more integrated,AINextNo change,AINextMore integrated,AINextLess integrated,AINextMuch less integrated,AIThreat,AIEthics,AIChallenges,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Knowledge_9,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Frustration,ProfessionalTech,ProfessionalCloud,ProfessionalQuestion,Industry,JobSatPoints_1,JobSatPoints_4,JobSatPoints_5,JobSatPoints_6,JobSatPoints_7,JobSatPoints_8,JobSatPoints_9,JobSatPoints_10,JobSatPoints_11,SurveyLength,SurveyEase,ConvertedCompYearly,JobSat
22415,I am a developer by profession,55-64 years old,"Employed, full-time",In-person,Apples,Hobby;Contribute to open-source projects;School or academic work;Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification","Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Coding sessions (live or recorded);Social Media;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges)",API document(s) and/or SDK document(s);Traditional public search engine,More than 50 years,40,"Developer, full-stack","1,000 to 4,999 employees",I have a great deal of influence,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Is set up to be customized and needs to be engineered into a usable product,APIs;Customization;Quality support system;Reputation for quality and excellence;Frequent updates to features;Connected to an open source project,United States of America,USD	United States dollar,190000,C;C#;C++;JavaScript;Python;Rust;SQL,Python;Rust;SQL,Python;Rust;SQL,MariaDB;MySQL;PostgreSQL;SQLite,MariaDB;MySQL;PostgreSQL;SQLite,MariaDB;MySQL;PostgreSQL;SQLite,NA,NA,NA,NA,NA,NA,Arduino;Cargo;GNU GCC;Ninja,Arduino;Cargo,Arduino;Cargo,Keras;NumPy;OpenGL;Pandas;Scikit-Learn,Keras;NumPy;Pandas;Scikit-Learn,Keras;NumPy;Pandas;Scikit-Learn,Ninja;Yarn,NA,NA,Android Studio;Helix;Jupyter Notebook/JupyterLab;Neovim;Visual Studio;Visual Studio Code,Helix;Jupyter Notebook/JupyterLab;Visual Studio Code,Helix;Jupyter Notebook/JupyterLab;Visual Studio Code,Ubuntu,Ubuntu;Windows,Jira,Jira,Jira,Cisco Webex Teams;Microsoft Teams;Slack;Zoom,Cisco Webex Teams;Microsoft Teams;Slack;Zoom,Cisco Webex Teams;Microsoft Teams;Slack;Zoom,NA,NA,NA,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,Quickly finding code solutions;Learning new-to-me technology/techniques,"No, not really","No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,190000,NA
22416,I am a developer by profession,35-44 years old,"Employed, full-time",Remote,Apples,I don’t code outside of work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community)",Blogs;Written Tutorials;Stack Overflow;Social Media;How-to videos,NA,10,6,Data scientist or machine learning specialist,10 to 19 employees,I have a great deal of influence,Start a free trial;Ask developers I know/work with;Research companies that have emailed me,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Quality support system;Reputation for quality and excellence;Frequent updates to features,United States of America,USD	United States dollar,185000,Bash/Shell (all shells);Python;SQL,Bash/Shell (all shells);Python;Rust;SQL,Bash/Shell (all shells);Python;SQL,DuckDB;PostgreSQL;Redis,DuckDB;PostgreSQL;Redis,DuckDB;PostgreSQL;Redis,Amazon Web Services (AWS),Amazon Web Services (AWS),Amazon Web Services (AWS),FastAPI,FastAPI,FastAPI,NA,NA,NA,mlflow;NumPy;Opencv;Pandas;Ruff;TensorFlow;Torch/PyTorch,mlflow;NumPy;Opencv;Pandas;Ruff;Torch/PyTorch,mlflow;NumPy;Opencv;Pandas;Ruff;Torch/PyTorch,Docker;Pip,Docker;Kubernetes;Pip,Docker;Pip,Jupyter Notebook/JupyterLab;Notepad++;Visual Studio Code,Jupyter Notebook/JupyterLab;Notepad++;Visual Studio Code,Jupyter Notebook/JupyterLab;Notepad++;Visual Studio Code,Windows,Ubuntu,Jira;Obsidian,Obsidian,Obsidian,Google Meet;Microsoft Teams;Slack;Zoom,Google Meet;Slack,Google Meet;Slack,ChatGPT,ChatGPT,ChatGPT,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,Quickly finding code solutions,Neutral,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,6,Agree,Agree,Strongly agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,1-2 times a week,3-5 times a week,1-2 times a week,15-30 minutes a day,60-120 minutes a day,Amount of technical debt;Tracking my work;Maintaining security of code being produced,Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),AI-powered search (free),Government,50,0,0,10,20,20,0,0,0,Appropriate in length,Easy,185000,5
22417,"I am not primarily a developer, but I write code sometimes as part of my work/studies",18-24 years old,"Student, full-time;Not employed, and not looking for work",NA,Apples,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)","Technical documentation;Stack Overflow;How-to videos;Online challenges (e.g., daily or weekly coding challenges)",API document(s) and/or SDK document(s);User guides or README files found in the source repository,9,NA,Student,NA,NA,NA,NA,NA,Germany,NA,NA,Bash/Shell (all shells);C;HTML/CSS;Java;Kotlin;Lua;Rust;TypeScript,Go;Haskell;OCaml;Rust;Zig,Rust,SQLite,SQLite,SQLite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nix;Podman,Nix,Nix,Neovim,Neovim,Neovim,Other Linux-based,Other Linux-based,Markdown File;Notion;Obsidian,Markdown File;Obsidian,Markdown File;Obsidian,Discord;Whatsapp,Discord;Whatsapp,Discord;Whatsapp,ChatGPT;GitHub Copilot,ChatGPT;GitHub Copilot,ChatGPT;GitHub Copilot,Stack Overflow;Stack Exchange,Less than once per month or monthly,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,"No, not really",Yes,Indifferent,Greater efficiency;Other (please specify):,Somewhat trust,Bad at handling complex tasks,Writing code,Documenting code,Learning about a codebase;Project planning;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Search for answers;Generating content or synthetic data;Other (please specify):,,Writing code,,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Neither easy nor difficult,NA,NA
22418,I am a developer by profession,35-44 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Remote,Apples,Hobby;Bootstrapping a business;Freelance/contract work,Some college/university study without earning a degree,"Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);Other (please specify):",Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Interactive tutorial;AI,API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine;AI-powered search/dev tool (free);AI-powered search/dev tool (paid),15,15,"Developer, full-stack",20 to 99 employees,I have a great deal of influence,Start a free trial;Ask developers I know/work with,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Customization;Quality support system;Reputation for quality and excellence;Connected to an open source project,United States of America,USD	United States dollar,256000,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Ruby;Rust;SQL;TypeScript,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Ruby;Rust;SQL;TypeScript,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Ruby;Rust;SQL;TypeScript,Elasticsearch;MySQL;PostgreSQL;Redis,Elasticsearch;MySQL;PostgreSQL;Redis,Elasticsearch;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare;Firebase;Vercel,Amazon Web Services (AWS);Cloudflare;Vercel,Amazon Web Services (AWS);Cloudflare;Vercel,Express;Next.js;Node.js;React;Ruby on Rails,Next.js;Node.js;React,Next.js;Node.js;React,NA,NA,NA,.NET (5+) ;Electron;React Native,.NET (5+) ;Electron;React Native;Tauri,.NET (5+) ;Electron;React Native,APT;Docker;Godot;Homebrew;Make;npm;Unity 3D;Vite;Yarn,APT;Bun;Docker;Homebrew;Make;npm;Unity 3D;Vite,APT;Docker;Homebrew;Make;npm;Unity 3D;Vite,Neovim;Visual Studio Code,Neovim;Visual Studio Code,Neovim;Visual Studio Code,iOS;iPadOS;MacOS;Windows;Windows Subsystem for Linux (WSL),iOS;iPadOS;MacOS,Jira;Linear;Obsidian,Linear;Obsidian,Linear;Obsidian,Discord;Slack;Zoom,Discord;Slack;Zoom,Discord;Slack;Zoom,ChatGPT;GitHub Copilot,ChatGPT;GitHub Copilot,ChatGPT;GitHub Copilot,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions,"No, not really",Yes,Favorable,Increase productivity;Greater efficiency,Somewhat trust,Bad at handling complex tasks,Writing code;Testing code;Search for answers,Learning about a codebase;Project planning;Documenting code;Debugging and getting help;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Generating content or synthetic data,,,,Writing code;Testing code;Search for answers,,,I'm not sure,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints;Imitating a person's likeness,Don’t trust the output or answers;Not everyone uses them;We don’t have the right policies in place to reduce security risks,Yes,Individual contributor,15,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,1-2 times a week,3-5 times a week,1-2 times a week,15-30 minutes a day,15-30 minutes a day,Amount of technical debt,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Healthcare,10,0,0,20,10,40,20,0,0,Appropriate in length,Easy,256000,6
22419,I am a developer by profession,25-34 years old,"Employed, full-time",In-person,Apples,Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community)",Technical documentation;Blogs;Books,API document(s) and/or SDK document(s);User guides or README files found in the source repository,13,5,"Developer, embedded applications or devices",100 to 499 employees,I have little or no influence,Start a free trial;Ask developers I know/work with,Is set up to be customized and needs to be engineered into a usable product,Quality support system;Reputation for quality and excellence,United States of America,USD	United States dollar,129000,Bash/Shell (all shells);C;C++;Python;Rust,Bash/Shell (all shells);Python;Rust,Bash/Shell (all shells);Python;Rust,NA,NA,NA,NA,NA,NA,NA,NA,NA,CMake;Cargo;GNU GCC;LLVM's Clang,Cargo;GNU GCC;LLVM's Clang,Cargo;GNU GCC;LLVM's Clang,NumPy;Pandas,NA,NA,Docker;Google Test;Make;Pip,Docker,Docker,Qt Creator;Vim;Visual Studio Code,Vim,Vim,Fedora;Ubuntu,Ubuntu,Confluence;Doxygen;Jira;Markdown File,Confluence;Doxygen;Jira;Markdown File,Confluence;Doxygen;Jira;Markdown File,Microsoft Teams,NA,NA,NA,NA,NA,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,Finding reliable guidance from community-vetted answers,"No, not really","No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,7,Strongly agree,Strongly agree,Disagree,Disagree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Disagree,10+ times a week,10+ times a week,10+ times a week,30-60 minutes a day,60-120 minutes a day,Amount of technical debt;Number of software tools in use;Complexity of tech stack for deployment;Reliability of tools/systems used in work,Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),A coworker,Other:,10,10,0,45,10,5,20,0,0,Appropriate in length,Easy,129000,3
22420,"I am not primarily a developer, but I write code sometimes as part of my work/studies",45-54 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby;Professional development or self-paced learning from online courses;Freelance/contract work,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Books / Physical media;Online Courses or Certification,NA,NA,30,24,Data engineer,"1,000 to 4,999 employees",I have some influence,Start a free trial;Ask developers I know/work with,Is set up to be customized and needs to be engineered into a usable product,APIs;Customization;Quality support system;Reputation for quality and excellence,United States of America,USD	United States dollar,120000,C#;Go;SQL,C#;Go;SQL,C#;Go;SQL,Microsoft SQL Server,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,Microsoft Azure,NA,NA,NA,NA,NA,NA,.NET (5+) ;.NET Framework (1.0 - 4.8),.NET (5+) ,.NET (5+) ,Homebrew;Make;NuGet,Homebrew;NuGet,Homebrew;NuGet,BBEdit;DataGrip;Notepad++;Visual Studio;Visual Studio Code,BBEdit;DataGrip;Notepad++;Visual Studio;Visual Studio Code,BBEdit;DataGrip;Notepad++;Visual Studio;Visual Studio Code,MacOS,MacOS,Jira;Markdown File,Markdown File,Markdown File,Microsoft Teams;Zoom,Zoom,Zoom,ChatGPT,ChatGPT,ChatGPT,Stack Overflow;Stack Exchange,Less than once per month or monthly,Yes,Less than once per month or monthly,Finding reliable guidance from community-vetted answers,"No, not at all",Yes,Indifferent,Increase productivity;Greater efficiency,Neither trust nor distrust,Neither good or bad at handling complex tasks,Writing code;Testing code;Generating content or synthetic data,,Learning about a codebase;Project planning;Documenting code;Debugging and getting help;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Search for answers,,,Writing code;Testing code;Generating content or synthetic data,,,No,Circulating misinformation or disinformation;Imitating a person's likeness,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,120000,NA
22421,I am a developer by profession,65 years or older,"Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Apples,I don’t code outside of work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community)",Technical documentation;Books;Stack Overflow;AI,User guides or README files found in the source repository;Traditional public search engine;AI-powered search/dev tool (free),44,44,Scientist,20 to 99 employees,I have some influence,Ask developers I know/work with;Ask a generative AI tool;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Is set up to be customized and needs to be engineered into a usable product,Customization;Integrated developer community;Quality support system;Connected to an open source project,Australia,AUD	Australian dollar,50000,Julia;Python;SQL,NA,NA,MySQL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GTK,NA,NA,Pip,NA,NA,IPython;Jupyter Notebook/JupyterLab;Visual Studio Code,NA,NA,Windows,Windows,NA,NA,NA,Microsoft Teams,NA,NA,ChatGPT,NA,NA,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques,Neutral,Yes,Favorable,Increase productivity;Speed up learning,Somewhat distrust,"Good, but not great at handling complex tasks",Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Testing code;Search for answers,Project planning;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Generating content or synthetic data,,Writing code;Documenting code,Debugging and getting help,Learning about a codebase;Testing code;Search for answers,,,No,Missing or incorrect attribution for sources of data,Lack of executive buy-in;Not everyone uses them,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Neither easy nor difficult,33033,NA
22422,"I used to be a developer by profession, but no longer am",25-34 years old,"Not employed, but looking for work",NA,Apples,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Colleague;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification",Technical documentation;Written Tutorials;How-to videos;Interactive tutorial,API document(s) and/or SDK document(s);User guides or README files found in the source repository,13,NA,"Developer, front-end",NA,NA,NA,NA,NA,Philippines,NA,NA,HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,NA,NA,Couchbase;H2;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite;Supabase,NA,NA,Google Cloud;Supabase,NA,NA,Angular;AngularJS;Express;Node.js;Spring Boot,NA,NA,NA,NA,NA,Cordova;Spring Framework,NA,NA,APT;Docker;Gradle;Maven (build tool);npm;NuGet;Pip;Webpack,NA,NA,Android Studio;IntelliJ IDEA;Nano;Netbeans;Sublime Text;Visual Studio;Visual Studio Code;VSCodium,NA,NA,Other Linux-based;Windows;Windows Subsystem for Linux (WSL),,Azure Devops;Clickup;Confluence;Jira;Trello,NA,NA,Discord;Google Chat;Google Meet;Microsoft Teams;Slack;Whatsapp;Zoom,NA,NA,Visual Studio Intellicode,NA,NA,Stack Overflow,A few times per month or weekly,Yes,Less than once per month or monthly,Quickly finding code solutions;Learning new-to-me technology/techniques,"No, not at all","No, but I plan to soon",Indifferent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Not everyone uses them",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Easy,NA,NA
22423,"I am not primarily a developer, but I write code sometimes as part of my work/studies",45-54 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",On the job training;Online Courses or Certification,NA,NA,30,30,Engineering manager,"10,000 or more employees",I have little or no influence,Start a free trial;Ask developers I know/work with,NA,APIs;Reputation for quality and excellence,Australia,AUD	Australian dollar,NA,C#,C#,C#,Microsoft SQL Server;PostgreSQL,Dynamodb;Microsoft SQL Server;PostgreSQL,Microsoft SQL Server;PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),Amazon Web Services (AWS),ASP.NET CORE,ASP.NET CORE,ASP.NET CORE,NA,NA,NA,.NET (5+) ,.NET (5+) ,.NET (5+) ,NA,NA,NA,Rider,Rider,Rider,MacOS,MacOS,Confluence;Jira,Confluence;Jira,Confluence;Jira,Microsoft Teams,Microsoft Teams,Microsoft Teams,GitHub Copilot,GitHub Copilot,GitHub Copilot,Stack Overflow,A few times per month or weekly,No,NA,Quickly finding code solutions,"No, not really",Yes,Favorable,Increase productivity;Greater efficiency,Somewhat trust,Neither good or bad at handling complex tasks,Learning about a codebase,Writing code;Testing code,,,,Learning about a codebase,,,No,Circulating misinformation or disinformation;Biased results that do not represent diverse viewpoints,"AI tools lack context of codebase,  internal architecture, and/or company knowledge",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too long,Easy,NA,NA
22424,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,I don’t code outside of work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)",Technical documentation;Blogs;Books;Written Tutorials;Interactive tutorial;Written-based Online Courses,API document(s) and/or SDK document(s);Traditional public search engine;AI-powered search/dev tool (free),4,4,"Developer, back-end",10 to 19 employees,I have some influence,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Quality support system;Reputation for quality and excellence;Frequent updates to features,United States of America,USD	United States dollar,245000,Go;Java;JavaScript,Go;Java;Rust,Go;Java,Elasticsearch;PostgreSQL,Couch DB;Elasticsearch;PostgreSQL,Elasticsearch;PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),Amazon Web Services (AWS),Spring Boot,Spring Boot,Spring Boot,NA,NA,NA,Spring Framework,Spring Framework,Spring Framework,Gradle;Kubernetes,Gradle;Kubernetes,Gradle;Kubernetes,NA,NA,NA,Ubuntu;Windows,Red Hat;Windows;Windows Subsystem for Linux (WSL),Jira,YouTrack,NA,Microsoft Teams;Slack,Slack,Slack,NA,NA,NA,Stack Overflow,Multiple times per day,Yes,Less than once per month or monthly,Learning new-to-me technology/techniques,"Yes, somewhat","No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,245000,NA
